Date,에코프로,에코프로_증감,솔브레인,솔브레인_증감,에스앤에스텍,에스앤에스텍_증감,한솔케미칼,한솔케미칼_증감,에코프로비엠,에코프로비엠_증감,동진쎄미켐,동진쎄미켐_증감,고려아연,고려아연_증감,포스코인터내셔널,포스코인터내셔널_증감,포스코퓨처엠,포스코퓨처엠_증감,대주전자재료,대주전자재료_증감,LG화학,LG화학_증감,레이크머티리얼즈,레이크머티리얼즈_증감,하나머티리얼즈,하나머티리얼즈_증감,엘앤에프,엘앤에프_증감,이엔에프테크놀로지,이엔에프테크놀로지_증감,POSCO홀딩스,POSCO홀딩스_증감,세아베스틸지주,세아베스틸지주_증감,에프에스티,에프에스티_증감,원익머트리얼즈,원익머트리얼즈_증감,OCI홀딩스,OCI홀딩스_증감,덕산네오룩스,덕산네오룩스_증감,원익QnC,원익QnC_증감,에이치브이엠,에이치브이엠_증감,이수스페셜티케미컬,이수스페셜티케미컬_증감
2026-03-03,7.58,-,6.5,-,6.22,-,5.72,-,4.78,-,4.76,-,4.72,-,4.7,-,4.6,-,4.45,-,3.63,-,3.41,-,3.36,-,3.32,-,3.14,-,2.95,-,2.48,-,2.19,-,1.94,-,1.82,-,,,,,,,,
2026-03-04,7.16,0,6.85,0,6.41,0,5.67,0,4.59,0,4.89,0,4.92,0,4.89,0,4.5,0,4.37,0,3.34,0,3.3,0,3.39,0,3.16,0,3.28,0,2.85,0,2.56,0,2.05,0,2.01,0,1.89,0,,,,,,,,
2026-03-05,6.89,0,6.71,0,6.32,0,6.02,0,4.49,0,4.92,0,4.77,0,4.83,0,4.33,0,4.32,0,3.35,0,3.26,0,3.65,0,3.09,0,3.46,0,2.88,0,2.63,0,1.95,0,2.14,0,1.81,0,1.86,0,,,,,,
2026-03-06,7.23,0,7.61,0,6.39,0,5.45,0,4.62,0,4.92,0,4.49,0,4.72,0,4.25,0,4.68,0,3.09,0,3.26,0,3.91,0,3.1,0,3.4,0,2.71,0,2.4,0,2.04,0,2.15,0,1.72,0,1.79,0,,,,,,
2026-03-09,7.22,0,7.57,0,6.12,0,5.43,0,4.53,0,4.94,0,4.23,0,4.95,0,4.16,0,5.44,0,2.94,0,3.36,0,3.8,0,3.24,0,3.31,0,2.61,0,2.3,0,2.04,0,2.13,0,1.88,0,1.76,0,1.91,0,,,,
2026-03-10,7.38,0,7.53,0,5.85,0,5.28,0,4.8,0,4.71,0,4.09,0,5.49,0,4.15,0,5.64,0,2.87,0,3.32,0,3.66,0,3.28,0,3.16,0,2.64,0,2.31,0,1.92,0,2.07,0,1.92,0,1.83,0,1.9,0,,,,
2026-03-11,7.19,0,7.55,0,5.9,0,5.35,0,4.67,0,4.87,0,4.03,0,5.27,0,4.17,0,5.38,0,2.88,0,3.35,0,3.59,0,3.18,0,3.42,0,2.61,0,2.37,0,1.99,0,2.05,0,1.81,0,1.9,0,1.84,0,2.09,0,,
2026-03-12,6.91,🔵▼ 7,6.77,🔵▼ 2,5.82,0,5.1,🔵▼ 4,4.41,🔵▼ 5,4.2,🔵▼ 57,4.16,0,5.85,🔴▲ 40,4.03,🔵▼ 5,5.03,0,2.78,🔵▼ 3,3.22,0,3.36,🔵▼ 19,3.23,0,3.37,0,2.47,🔵▼ 3,2.68,0,1.98,0,1.81,🔵▼ 25,1.88,0,0.93,🔵▼ 148,1.79,0,4.78,🔴▲ 131,2.67,🔴▲ 121
2026-03-13,6.7,0,6.65,0,5.77,0,4.92,0,4.37,0,4.21,0,4.14,0,6.03,0,3.99,0,5.24,0,2.68,0,3.18,0,3.28,0,3.14,0,3.32,0,2.46,0,2.72,0,2.38,0,1.75,0,2.11,0,0.9,0,1.8,0,4.66,0,2.64,0
2026-03-16,6.56,0,6.73,0,5.95,0,4.9,0,4.35,0,4.27,0,4.14,0,5.75,0,3.72,0,5.3,0,2.67,0,3.14,0,3.25,0,3.08,0,3.31,0,2.46,0,2.76,0,2.43,0,1.8,0,2.17,0,0.99,0,1.87,0,4.7,0,2.58,0
