Date,SK하이닉스,SK하이닉스_증감,삼성전자,삼성전자_증감,현대차,현대차_증감,기아,기아_증감,KB금융,KB금융_증감,현대모비스,현대모비스_증감,한화에어로스페이스,한화에어로스페이스_증감,SK스퀘어,SK스퀘어_증감,신한지주,신한지주_증감,하나금융지주,하나금융지주_증감,HD현대일렉트릭,HD현대일렉트릭_증감,우리금융지주,우리금융지주_증감,미래에셋증권,미래에셋증권_증감,현대로템,현대로템_증감,현대글로비스,현대글로비스_증감,삼성화재,삼성화재_증감,효성중공업,효성중공업_증감,한국항공우주,한국항공우주_증감,HD현대,HD현대_증감,KT&G,KT&G_증감,한국카본,한국카본_증감,SK텔레콤,SK텔레콤_증감,한국금융지주,한국금융지주_증감,LS ELECTRIC,LS ELECTRIC_증감
2026-03-03,24.14,"- | ₩939,000 (-11.50%)",23.01,"- | ₩195,100 (-9.88%)",4.81,"- | ₩595,000 (-11.72%)",3.89,"- | ₩182,300 (-11.29%)",3.42,"- | ₩153,500 (-3.46%)",2.61,"- | ₩468,500 (-9.38%)",2.58,"- | ₩1,432,000 (+19.83%)",2.42,"- | ₩581,000 (-9.92%)",2.41,"- | ₩96,700 (-0.21%)",2.03,"- | ₩120,100 (-1.40%)",1.59,"- | ₩987,000 (-6.00%)",1.55,"- | ₩35,300 (-1.94%)",1.35,"- | ₩66,312 (-7.50%)",1.15,"- | ₩249,000 (+8.03%)",1.13,"- | ₩259,500 (-10.36%)",1.07,"- | ₩522,000 (-1.51%)",1.02,"- | ₩2,606,000 (-7.69%)",0.88,"- | ₩197,600 (+3.19%)",0.86,"- | ₩291,000 (-0.51%)",0.81,"- | ₩162,300 (-0.49%)",,,,,,,,
2026-03-04,22.99,"0 | ₩849,000 (-9.58%)",22.31,"0 | ₩172,200 (-11.74%)",4.56,"0 | ₩501,000 (-15.80%)",3.71,"0 | ₩156,700 (-14.04%)",3.56,"0 | ₩137,700 (-10.29%)",2.54,"0 | ₩399,000 (-14.83%)",3.33,"0 | ₩1,323,000 (-7.61%)",2.34,"0 | ₩507,000 (-12.74%)",2.58,"0 | ₩88,800 (-8.17%)",2.16,"0 | ₩105,500 (-12.16%)",1.61,"0 | ₩871,000 (-11.75%)",1.64,"0 | ₩31,800 (-9.92%)",1.35,"0 | ₩56,256 (-15.16%)",1.33,"0 | ₩202,000 (-18.88%)",1.09,"0 | ₩232,000 (-10.60%)",1.13,"0 | ₩468,000 (-10.34%)",1.01,"0 | ₩2,297,000 (-11.86%)",0.98,"0 | ₩158,500 (-19.79%)",0.92,"0 | ₩261,500 (-10.14%)",0.87,"0 | ₩151,600 (-6.59%)",,,,,,,,
2026-03-05,24.28,"🔴▲ 11 | ₩941,000 (+10.84%)",22.23,"0 | ₩191,600 (+11.27%)",4.34,"0 | ₩548,000 (+9.38%)",3.6,"0 | ₩166,400 (+6.19%)",3.6,"0 | ₩149,000 (+8.21%)",2.44,"0 | ₩432,000 (+8.27%)",3.47,"0 | ₩1,381,000 (+4.38%)",1.46,"🔵▼ 19 | ₩566,000 (+11.64%)",2.68,"0 | ₩92,900 (+4.62%)",2.14,"0 | ₩111,200 (+5.40%)",1.6,"0 | ₩984,000 (+12.97%)",1.66,"0 | ₩33,750 (+6.13%)",1.29,"0 | ₩64,918 (+15.40%)",1.22,"0 | ₩225,500 (+11.63%)",1.1,"0 | ₩246,500 (+6.25%)",1.15,"0 | ₩491,500 (+5.02%)",1,"0 | ₩2,484,000 (+8.14%)",0.89,"0 | ₩179,000 (+12.93%)",1.12,"🔴▲ 8 | ₩275,000 (+5.16%)",0.91,"0 | ₩156,600 (+3.30%)",,,,,,,,
2026-03-06,23.79,"🔵▼ 9 | ₩924,000 (-1.81%)",22.48,"0 | ₩188,200 (-1.77%)",4.31,"0 | ₩553,000 (+0.91%)",3.48,"0 | ₩167,000 (+0.36%)",3.54,"0 | ₩147,400 (-1.07%)",2.4,"0 | ₩444,000 (+2.78%)",3.29,"0 | ₩1,481,000 (+7.24%)",2.2,"🔴▲ 16 | ₩553,000 (-2.30%)",2.55,"0 | ₩91,800 (-1.18%)",2.05,"0 | ₩110,300 (-0.81%)",1.64,"0 | ₩968,000 (-1.63%)",1.6,"0 | ₩33,050 (-2.07%)",1.35,"0 | ₩66,810 (+2.91%)",1.24,"0 | ₩233,000 (+3.33%)",1.06,"0 | ₩243,500 (-1.22%)",1.02,"🔵▼ 2 | ₩496,500 (+1.02%)",0.99,"0 | ₩2,478,000 (-0.24%)",0.91,"0 | ₩183,300 (+2.40%)",1.07,"0 | ₩279,000 (+1.45%)",0.86,"0 | ₩154,700 (-1.21%)",,,,,,,,
2026-03-09,23.37,"0 | ₩836,000 (-9.52%)",22.09,"0 | ₩173,500 (-7.81%)",4.35,"0 | ₩507,000 (-8.32%)",3.49,"0 | ₩153,400 (-8.14%)",3.51,"0 | ₩142,600 (-3.26%)",2.47,"0 | ₩409,000 (-7.88%)",3.53,"0 | ₩1,434,000 (-3.17%)",2.16,"0 | ₩509,000 (-7.96%)",2.42,"🔵▼ 13 | ₩88,500 (-3.59%)",2.04,"0 | ₩107,900 (-2.18%)",1.62,"0 | ₩907,000 (-6.30%)",1.57,"0 | ₩31,550 (-4.54%)",1.39,"0 | ₩63,922 (-4.32%)",1.28,"0 | ₩215,000 (-7.73%)",1.05,"0 | ₩226,500 (-6.98%)",1.03,"0 | ₩474,500 (-4.43%)",0.99,"0 | ₩2,389,000 (-3.59%)",0.93,"0 | ₩174,100 (-5.02%)",1.09,"0 | ₩263,000 (-5.73%)",0.85,"0 | ₩153,600 (-0.71%)",,,,,,,,
2026-03-10,23.49,"🔴▲ 11 | ₩938,000 (+12.20%)",21.87,"0 | ₩187,900 (+8.30%)",4.68,"🔴▲ 9 | ₩525,000 (+3.55%)",3.25,"🔵▼ 15 | ₩161,000 (+4.95%)",3.64,"0 | ₩147,400 (+3.37%)",2.27,"🔵▼ 5 | ₩423,000 (+3.42%)",3.67,"0 | ₩1,455,000 (+1.46%)",1.35,"🔵▼ 18 | ₩554,000 (+8.84%)",2.7,"🔴▲ 25 | ₩89,200 (+0.79%)",2.14,"0 | ₩109,900 (+1.85%)",1.63,"0 | ₩941,000 (+3.75%)",1.81,"🔴▲ 73 | ₩32,100 (+1.74%)",1.43,"0 | ₩64,321 (+0.62%)",1.27,"0 | ₩207,500 (-3.49%)",1.04,"0 | ₩234,500 (+3.53%)",1.05,"0 | ₩488,500 (+2.95%)",1.02,"0 | ₩2,550,000 (+6.74%)",0.95,"0 | ₩174,100 (+0.00%)",1.19,"🔴▲ 4 | ₩269,000 (+2.28%)",0.91,"0 | ₩154,600 (+0.65%)",,,,,,,,
2026-03-11,24.81,"0 | ₩955,000 (+1.81%)",22.3,"0 | ₩190,000 (+1.12%)",4.56,"0 | ₩530,000 (+0.95%)",3.21,"0 | ₩162,000 (+0.62%)",3.54,"0 | ₩151,300 (+2.65%)",2.21,"0 | ₩423,000 (+0.00%)",3.51,"0 | ₩1,410,000 (-3.09%)",1.38,"0 | ₩565,000 (+1.99%)",2.56,"0 | ₩91,100 (+2.13%)",2.05,"0 | ₩113,400 (+3.18%)",1.59,"0 | ₩939,000 (-0.21%)",1.73,"0 | ₩33,350 (+3.89%)",1.36,"0 | ₩71,091 (+10.53%)",1.15,"0 | ₩203,000 (-2.17%)",1.02,"0 | ₩236,500 (+0.85%)",1.02,"0 | ₩497,500 (+1.84%)",1.03,"0 | ₩2,533,000 (-0.67%)",0.9,"0 | ₩175,400 (+0.75%)",1.15,"0 | ₩278,000 (+3.35%)",0.86,"0 | ₩154,600 (+0.00%)",,,,,,,,
2026-03-12,24.4,"🔵▼ 7 | ₩930,000 (-2.62%)",22.25,"0 | ₩187,900 (-1.11%)",4.54,"0 | ₩521,000 (-1.70%)",3.19,"0 | ₩167,000 (+3.09%)",3.59,"0 | ₩149,200 (-1.39%)",2.18,"0 | ₩414,500 (-2.01%)",3.36,"0 | ₩1,465,000 (+3.90%)",2.24,"🔴▲ 19 | ₩554,000 (-1.95%)",2.58,"0 | ₩91,900 (+0.88%)",2.09,"0 | ₩112,500 (-0.79%)",1.56,"0 | ₩944,000 (+0.53%)",1.78,"0 | ₩32,500 (-2.55%)",1.48,"0 | ₩70,096 (-1.40%)",1.11,"0 | ₩206,000 (+1.48%)",1.01,"0 | ₩231,000 (-2.33%)",1.03,"0 | ₩490,000 (-1.51%)",1,"0 | ₩2,561,000 (+1.11%)",0.89,"0 | ₩179,800 (+2.51%)",1.17,"0 | ₩276,500 (-0.54%)",0.85,"0 | ₩155,600 (+0.65%)",0.87,"0 | ₩47,800 (+1.49%)",,,,,,
2026-03-13,23.96,"0 | ₩910,000 (-2.15%)",22.19,"0 | ₩183,500 (-2.34%)",4.5,"0 | ₩517,000 (-0.77%)",3.31,"0 | ₩164,300 (-1.62%)",3.57,"0 | ₩148,900 (-0.20%)",2.16,"0 | ₩404,000 (-2.53%)",3.52,"0 | ₩1,488,000 (+1.57%)",2.22,"0 | ₩534,000 (-3.61%)",2.63,"0 | ₩90,800 (-1.20%)",2.09,"0 | ₩108,900 (-3.20%)",1.59,"0 | ₩929,000 (-1.59%)",1.75,"0 | ₩32,200 (-0.92%)",1.47,"0 | ₩69,200 (-1.28%)",1.14,"0 | ₩198,500 (-3.64%)",1,"0 | ₩223,000 (-3.46%)",1.02,"0 | ₩474,000 (-3.27%)",1.02,"0 | ₩2,593,000 (+1.25%)",0.92,"0 | ₩182,700 (+1.61%)",1.17,"0 | ₩262,500 (-5.06%)",0.86,"0 | ₩153,000 (-1.67%)",0.9,"0 | ₩46,550 (-2.62%)",,,,,,
2026-03-16,23.85,"0 | ₩974,000 (+7.03%)",22.05,"0 | ₩188,700 (+2.83%)",4.54,"0 | ₩506,000 (-2.13%)",3.32,"0 | ₩162,000 (-1.40%)",3.62,"0 | ₩149,300 (+0.27%)",2.14,"0 | ₩401,000 (-0.74%)",3.63,"0 | ₩1,476,000 (-0.81%)",2.17,"0 | ₩562,000 (+5.24%)",2.64,"0 | ₩90,000 (-0.88%)",2.06,"0 | ₩108,400 (-0.46%)",1.59,"0 | ₩905,000 (-2.58%)",1.76,"0 | ₩31,900 (-0.93%)",1.47,"0 | ₩70,900 (+2.46%)",1.11,"0 | ₩193,200 (-2.67%)",0.98,"0 | ₩219,000 (-1.79%)",1,"0 | ₩465,000 (-1.90%)",1.06,"0 | ₩2,517,000 (-2.93%)",0.95,"0 | ₩191,200 (+4.65%)",1.13,"0 | ₩263,000 (+0.19%)",0.86,"0 | ₩152,500 (-0.33%)",0.67,"🔵▼ 57 | ₩45,850 (-1.50%)",,,,,,
