Date,큐리언트,큐리언트_증감,성호전자,성호전자_증감,파두,파두_증감,레인보우로보틱스,레인보우로보틱스_증감,보로노이,보로노이_증감,인텔리안테크,인텔리안테크_증감,에이치브이엠,에이치브이엠_증감,성우하이텍,성우하이텍_증감,로보티즈,로보티즈_증감,비에이치아이,비에이치아이_증감,아이티센글로벌,아이티센글로벌_증감,주성엔지니어링,주성엔지니어링_증감,피에스케이홀딩스,피에스케이홀딩스_증감,이오테크닉스,이오테크닉스_증감,삼천당제약,삼천당제약_증감,에코프로,에코프로_증감,에스피지,에스피지_증감,솔브레인홀딩스,솔브레인홀딩스_증감,에이비엘바이오,에이비엘바이오_증감,씨메스,씨메스_증감,디어유,디어유_증감,펄어비스,펄어비스_증감,코나아이,코나아이_증감,지투지바이오,지투지바이오_증감,올릭스,올릭스_증감,에임드바이오,에임드바이오_증감,알지노믹스,알지노믹스_증감,리가켐바이오,리가켐바이오_증감,오름테라퓨틱,오름테라퓨틱_증감,오스코텍,오스코텍_증감,에스티팜,에스티팜_증감
2026-03-06,7.82,"- | ₩41,200 (+19.25%)",7.26,"- | ₩37,600 (+21.68%)",4.16,"- | ₩71,000 (+7.41%)",4.03,"- | ₩832,000 (-0.60%)",3.92,"- | ₩329,500 (+4.11%)",3.12,"- | ₩123,800 (+2.48%)",3.06,"- | ₩79,000 (+2.73%)",2.92,"- | ₩8,140 (+5.03%)",2.91,"- | ₩250,500 (+6.60%)",2.8,"- | ₩94,800 (+17.33%)",2.18,"- | ₩59,600 (-1.97%)",2.13,"- | ₩67,100 (+0.45%)",2.08,"- | ₩117,300 (+7.52%)",2.07,"- | ₩453,000 (+1.57%)",2.06,"- | ₩764,000 (-4.02%)",2.05,"- | ₩170,000 (+5.72%)",2.01,"- | ₩131,400 (+3.55%)",2.01,"- | ₩54,800 (+6.61%)",1.98,"- | ₩190,300 (+7.45%)",1.96,"- | ₩31,750 (+1.28%)",,,,,,,,,,,,,,,,,,,,,,
2026-03-09,8.72,"0 | ₩40,600 (-1.46%)",8.25,"0 | ₩38,500 (+2.39%)",4.18,"0 | ₩64,200 (-9.58%)",3.75,"0 | ₩739,000 (-11.18%)",3.82,"0 | ₩314,500 (-4.55%)",2.99,"0 | ₩120,100 (-2.99%)",2.94,"0 | ₩79,800 (+1.01%)",2.87,"0 | ₩7,690 (-5.53%)",2.9,"0 | ₩233,000 (-6.99%)",3.07,"0 | ₩97,700 (+3.06%)",2,"0 | ₩55,900 (-6.21%)",2,"0 | ₩59,900 (-10.73%)",2.1,"0 | ₩116,300 (-0.85%)",1.97,"0 | ₩413,000 (-8.83%)",1.84,"0 | ₩767,000 (+0.39%)",2.02,"0 | ₩163,800 (-3.65%)",1.95,"0 | ₩128,100 (-2.51%)",2,"0 | ₩49,900 (-8.94%)",1.99,"0 | ₩189,700 (-0.32%)",1.86,"0 | ₩30,300 (-4.57%)",1.88,"0 | ₩35,750 (-3.90%)",,,,,,,,,,,,,,,,,,,,
2026-03-10,8.97,"0 | ₩50,900 (+25.37%)",8.82,"0 | ₩49,400 (+28.31%)",3.95,"0 | ₩63,700 (-0.78%)",3.48,"0 | ₩766,000 (+3.65%)",3.8,"0 | ₩320,000 (+1.75%)",3.03,"0 | ₩136,000 (+13.24%)",3.1,"0 | ₩95,000 (+19.05%)",2.83,"0 | ₩9,390 (+22.11%)",2.82,"0 | ₩258,500 (+10.94%)",3.3,"0 | ₩105,000 (+7.47%)",1.95,"0 | ₩62,300 (+11.45%)",1.86,"0 | ₩70,000 (+16.86%)",2.17,"0 | ₩115,200 (-0.95%)",1.87,"0 | ₩419,000 (+1.45%)",1.93,"0 | ₩786,000 (+2.48%)",2.04,"0 | ₩164,500 (+0.43%)",1.98,"0 | ₩135,000 (+5.39%)",1.9,"0 | ₩57,400 (+15.03%)",2.07,"0 | ₩185,200 (-2.37%)",1.85,"0 | ₩37,500 (+23.76%)",1.89,"0 | ₩39,450 (+10.35%)",2.05,"0 | ₩64,500 (-2.42%)",,,,,,,,,,,,,,,,,,
2026-03-11,9.91,"🔵▼ 21 | ₩49,000 (-3.73%)",9.98,"🔵▼ 22 | ₩48,000 (-2.83%)",3.51,"0 | ₩63,200 (-0.78%)",3.23,"0 | ₩748,000 (-2.35%)",3.47,"0 | ₩329,000 (+2.81%)",3.07,"0 | ₩140,100 (+3.01%)",3.3,"0 | ₩108,800 (+14.53%)",3.1,"0 | ₩10,650 (+13.42%)",2.8,"0 | ₩249,000 (-3.68%)",3.18,"0 | ₩100,400 (-4.38%)",1.95,"0 | ₩67,200 (+7.87%)",1.95,"0 | ₩67,000 (-4.29%)",1.92,"0 | ₩104,400 (-9.38%)",1.7,"0 | ₩398,500 (-4.89%)",1.42,"🔵▼ 3 | ₩774,000 (-1.53%)",1.83,"0 | ₩161,600 (-1.76%)",1.87,"0 | ₩131,200 (-2.81%)",1.96,"0 | ₩62,400 (+8.71%)",1.81,"0 | ₩182,400 (-1.51%)",2.05,"0 | ₩42,500 (+13.33%)",1.86,"0 | ₩40,850 (+3.55%)",1.8,"0 | ₩61,400 (-4.81%)",1.88,"0 | ₩68,500 (-1.72%)",,,,,,,,,,,,,,,,
2026-03-12,8.96,"🔵▼ 66 | ₩49,850 (+1.73%)",9.1,"🔵▼ 68 | ₩49,400 (+2.92%)",3.22,"🔵▼ 24 | ₩66,600 (+5.38%)",3.12,"0 | ₩760,000 (+1.60%)",3.23,"🔵▼ 6 | ₩326,500 (-0.76%)",3.13,"0 | ₩142,300 (+1.57%)",3.48,"🔵▼ 16 | ₩106,900 (-1.75%)",3.24,"🔵▼ 148 | ₩11,310 (+6.20%)",2.67,"0 | ₩256,500 (+3.01%)",3,"0 | ₩99,700 (-0.70%)",1.94,"🔵▼ 14 | ₩71,900 (+6.99%)",1.72,"🔵▼ 13 | ₩66,100 (-1.34%)",1.82,"🔴▲ 6 | ₩102,300 (-2.01%)",1.6,"0 | ₩410,500 (+3.01%)",1.38,"0 | ₩787,000 (+1.68%)",1.78,"0 | ₩158,000 (-2.23%)",1.8,"0 | ₩131,200 (+0.00%)",1.97,"🔵▼ 15 | ₩62,100 (-0.48%)",1.76,"0 | ₩181,200 (-0.66%)",2.14,"🔵▼ 25 | ₩41,950 (-1.29%)",1.91,"0 | ₩39,550 (-3.18%)",1.8,"🔴▲ 12 | ₩60,100 (-2.12%)",1.83,"0 | ₩66,000 (-3.65%)",,,,,,,,,,,,,,,,
2026-03-13,8.95,"🔵▼ 16 | ₩49,900 (+0.10%)",9.12,"🔵▼ 27 | ₩50,400 (+2.02%)",3.49,"🔴▲ 12 | ₩66,200 (-0.60%)",3.15,"0 | ₩751,000 (-1.18%)",3.29,"🔴▲ 2 | ₩363,500 (+11.33%)",3.1,"🔵▼ 3 | ₩143,400 (+0.77%)",3.53,"🔴▲ 8 | ₩104,900 (-1.87%)",3.41,"🔵▼ 10 | ₩10,580 (-6.45%)",2.74,"0 | ₩258,500 (+0.78%)",2.97,"0 | ₩103,600 (+3.91%)",1.88,"🔵▼ 17 | ₩70,500 (-1.95%)",1.75,"🔴▲ 7 | ₩66,100 (+0.00%)",1.73,"🔵▼ 3 | ₩102,800 (+0.49%)",1.64,"0 | ₩410,500 (+0.00%)",0.93,"🔵▼ 4 | ₩772,000 (-1.91%)",1.85,"🔴▲ 5 | ₩150,500 (-4.75%)",1.79,"0 | ₩130,300 (-0.69%)",1.84,"🔵▼ 12 | ₩57,000 (-8.21%)",1.88,"🔴▲ 5 | ₩188,000 (+3.75%)",1.98,"🔵▼ 21 | ₩41,650 (-0.72%)",1.73,"🔵▼ 18 | ₩38,400 (-2.91%)",1.79,"🔴▲ 4 | ₩65,800 (+9.48%)",1.75,"0 | ₩66,500 (+0.76%)",,,,,,,,,,,,,,,,
2026-03-16,8.45,"🔵▼ 44 | ₩48,000 (-3.81%)",8.8,"🔵▼ 43 | ₩46,800 (-7.14%)",3.21,"🔵▼ 19 | ₩69,300 (+4.68%)",2.94,"🔵▼ 1 | ₩720,000 (-4.13%)",3.53,"🔵▼ 1 | ₩347,500 (-4.40%)",3.06,"0 | ₩133,500 (-6.90%)",3.38,"🔵▼ 1 | ₩103,200 (-1.62%)",2.78,"🔵▼ 224 | ₩9,850 (-6.90%)",2.7,"0 | ₩249,000 (-3.68%)",3.02,"0 | ₩101,500 (-2.03%)",1.42,"🔵▼ 38 | ₩69,400 (-1.56%)",1.71,"🔵▼ 1 | ₩64,100 (-3.03%)",1.7,"0 | ₩110,000 (+7.00%)",1.61,"0 | ₩410,000 (-0.12%)",1.01,"🔴▲ 1 | ₩730,000 (-5.44%)",1.7,"🔵▼ 1 | ₩145,900 (-3.06%)",1.74,"0 | ₩126,800 (-2.69%)",1.5,"🔵▼ 18 | ₩54,500 (-4.39%)",2.32,"🔴▲ 15 | ₩187,000 (-0.53%)",1.73,"🔵▼ 32 | ₩39,750 (-4.56%)",1.58,"🔵▼ 12 | ₩37,900 (-1.30%)",1.7,"🔵▼ 23 | ₩68,500 (+4.10%)",1.45,"🔵▼ 29 | ₩66,800 (+0.45%)",1.91,"🔴▲ 52 | ₩100,200 (-15.66%)",1.85,"🔴▲ 35 | ₩186,700 (-4.74%)",1.84,"🔴▲ 86 | ₩64,300 (-7.35%)",,,,,,,,,,
2026-03-17,7.96,"🔵▼ 67 | ₩45,500 (-5.21%)",8.48,"🔵▼ 1 | ₩42,300 (-9.62%)",3.47,"🔵▼ 3 | ₩62,700 (-9.52%)",2.93,"0 | ₩721,000 (+0.14%)",3.46,"🔵▼ 1 | ₩347,000 (-0.14%)",2.92,"🔵▼ 2 | ₩129,200 (-3.22%)",3.45,"0 | ₩102,900 (-0.29%)",2.73,"🔴▲ 26 | ₩9,600 (-2.54%)",2.7,"0 | ₩252,000 (+1.20%)",3.07,"0 | ₩105,100 (+3.55%)",1.5,"🔴▲ 4 | ₩70,100 (+1.01%)",1.63,"🔵▼ 9 | ₩61,100 (-4.68%)",1.89,"0 | ₩103,700 (-5.73%)",1.67,"0 | ₩394,500 (-3.78%)",0.99,"0 | ₩739,000 (+1.23%)",1.71,"0 | ₩149,300 (+2.33%)",1.76,"0 | ₩125,000 (-1.42%)",1.47,"🔵▼ 3 | ₩53,800 (-1.28%)",2.34,"🔵▼ 2 | ₩191,000 (+2.14%)",1.66,"🔵▼ 9 | ₩37,400 (-5.91%)",1.57,"🔵▼ 9 | ₩37,050 (-2.24%)",1.24,"🔵▼ 58 | ₩63,600 (-7.15%)",1.46,"🔵▼ 5 | ₩59,600 (-10.78%)",1.65,"🔵▼ 2 | ₩93,500 (-6.69%)",1.72,"🔵▼ 4 | ₩186,600 (-0.05%)",1.68,"🔵▼ 10 | ₩60,000 (-6.69%)",1.67,"🔵▼ 1 | ₩185,800 (-4.18%)",,,,,,,,
2026-03-18,7.43,"🔵▼ 55 | ₩46,600 (+2.42%)",7.94,"0 | ₩42,500 (+0.47%)",3.25,"0 | ₩62,500 (-0.32%)",3.04,"0 | ₩740,000 (+2.64%)",3.57,"0 | ₩339,000 (-2.31%)",2.92,"0 | ₩127,400 (-1.39%)",3.56,"0 | ₩96,600 (-6.12%)",2.7,"🔵▼ 33 | ₩9,610 (+0.10%)",2.83,"0 | ₩263,000 (+4.37%)",3.3,"0 | ₩105,600 (+0.48%)",1.56,"0 | ₩67,000 (-4.42%)",1.61,"0 | ₩62,900 (+2.95%)",1.94,"🔴▲ 6 | ₩108,200 (+4.34%)",1.66,"0 | ₩410,500 (+4.06%)",0.58,"🔵▼ 4 | ₩784,000 (+6.09%)",1.82,"0 | ₩154,000 (+3.15%)",1.79,"0 | ₩127,500 (+2.00%)",1.5,"0 | ₩55,000 (+2.23%)",2.47,"0 | ₩195,500 (+2.36%)",1.52,"🔵▼ 17 | ₩38,500 (+2.94%)",1.54,"🔵▼ 8 | ₩37,100 (+0.13%)",0.68,"🔵▼ 51 | ₩65,600 (+3.14%)",1.26,"🔵▼ 9 | ₩60,100 (+0.84%)",1.59,"0 | ₩91,600 (-2.03%)",1.78,"0 | ₩190,000 (+1.82%)",1.62,"0 | ₩60,500 (+0.83%)",1.65,"0 | ₩195,600 (+5.27%)",,,,,,,,
2026-03-19,7.12,"🔵▼ 56 | ₩45,050 (-3.33%)",7.89,"0 | ₩40,000 (-5.88%)",3.2,"0 | ₩57,000 (-8.80%)",3.08,"0 | ₩718,000 (-2.97%)",2.88,"🔵▼ 11 | ₩320,000 (-5.60%)",2.85,"0 | ₩123,400 (-3.14%)",3.31,"0 | ₩92,200 (-4.55%)",2.62,"🔵▼ 33 | ₩9,200 (-4.27%)",2.92,"0 | ₩267,000 (+1.52%)",3.27,"0 | ₩104,300 (-1.23%)",1.48,"0 | ₩65,200 (-2.69%)",1.59,"🔵▼ 5 | ₩61,000 (-3.02%)",2,"0 | ₩106,800 (-1.29%)",1.65,"🔵▼ 1 | ₩412,500 (+0.49%)",0.48,"🔵▼ 1 | ₩795,000 (+1.40%)",1.85,"0 | ₩151,100 (-1.88%)",1.81,"0 | ₩123,200 (-3.37%)",1.48,"🔵▼ 5 | ₩51,700 (-6.00%)",2.81,"🔴▲ 10 | ₩190,000 (-2.81%)",1.5,"🔵▼ 8 | ₩36,200 (-5.97%)",1.53,"0 | ₩35,750 (-3.64%)",0.6,"🔵▼ 10 | ₩46,000 (-29.88%)",1.26,"0 | ₩58,500 (-2.66%)",1.24,"🔵▼ 21 | ₩86,900 (-5.13%)",1.79,"0 | ₩181,800 (-4.32%)",1.21,"🔵▼ 43 | ₩56,300 (-6.94%)",2.23,"🔴▲ 17 | ₩214,000 (+9.41%)",,,,,,,,
