Date,삼천당제약,삼천당제약_증감,에이비엘바이오,에이비엘바이오_증감,올릭스,올릭스_증감,셀트리온,셀트리온_증감,에이프릴바이오,에이프릴바이오_증감,한미약품,한미약품_증감,알테오젠,알테오젠_증감,에스티팜,에스티팜_증감,지투지바이오,지투지바이오_증감,알지노믹스,알지노믹스_증감,셀트리온제약,셀트리온제약_증감,리가켐바이오,리가켐바이오_증감,인벤티지랩,인벤티지랩_증감,보로노이,보로노이_증감,오름테라퓨틱,오름테라퓨틱_증감,씨어스테크놀로지,씨어스테크놀로지_증감,HLB,HLB_증감,리브스메드,리브스메드_증감,펩트론,펩트론_증감,코오롱티슈진,코오롱티슈진_증감,오스코텍,오스코텍_증감,삼성바이오로직스,삼성바이오로직스_증감,현금,현금_증감
2026-03-03,13.2,-,9.13,-,7.64,-,7.14,-,4.07,-,3.85,-,3.84,-,3.59,-,3.06,-,2.79,-,2.7,-,2.69,-,2.64,-,2.52,-,2.44,-,2.24,-,1.94,-,1.69,-,1.58,-,1.52,-,,,,,,
2026-03-04,12.51,0,9.01,0,8.55,0,6.96,🔵▼ 1,3.99,0,3.84,0,3.74,0,3.8,0,2.93,0,2.89,0,2.63,0,2.8,0,2.66,0,2.56,0,2.61,0,2.15,0,2.1,0,1.6,0,1.49,0,1.55,0,1.64,0,,,,
2026-03-05,12.67,0,8.84,0,8.52,0,7.12,🔵▼ 5,3.83,0,3.81,0,3.84,0,3.8,0,2.91,0,2.69,0,2.66,0,2.79,0,2.81,0,2.55,0,2.39,0,2.15,0,2.1,0,1.55,0,1.5,0,1.59,0,1.62,0,1.58,0,,
2026-03-06,13.62,0,8.92,0,8.91,0,6.39,🔵▼ 12,3.81,0,3.61,0,3.75,0,3.75,0,2.72,0,3.04,0,2.52,0,2.85,0,2.81,0,2.55,0,2.3,0,2.07,0,2.02,0,1.58,0,1.55,0,1.56,0,1.53,0,1.49,0,,
2026-03-09,12.66,0,9.28,0,9.1,0,6.22,0,3.88,0,3.47,0,3.64,0,3.9,0,3.02,0,3.2,0,2.51,0,2.89,0,2.79,0,2.57,0,2.28,0,2.05,0,1.97,0,1.78,0,1.51,0,1.66,0,1.51,0,1.44,0,,
2026-03-10,11.56,🔵▼ 20,8.58,🔵▼ 50,8.16,🔵▼ 51,5.55,🔵▼ 29,3.7,0,3.39,🔴▲ 1,3.72,🔴▲ 1,4.89,🔴▲ 50,2.89,🔴▲ 1,3.42,0,2.51,🔴▲ 1,2.85,0,2.52,🔵▼ 24,2.56,🔴▲ 1,2.12,🔴▲ 1,2.23,0,0.99,🔵▼ 197,1.68,🔴▲ 1,1.72,🔴▲ 1,1.56,🔵▼ 1,1.53,0,1.59,🔴▲ 1,5.43,"🔴▲ 50,548,859"
2026-03-11,11.76,0,8.31,0,7.43,0,5.57,0,3.64,0,3.57,0,3.78,0,4.78,0,3.06,0,3.41,0,2.48,0,2.68,0,2.56,0,2.59,0,2.34,0,2.45,0,1.01,0,1.69,0,1.73,0,1.52,0,1.5,0,1.59,0,5.38,"🔵▼ 70,445"
2026-03-12,11.64,0,8.23,0,7.22,0,5.68,0,3.72,0,3.44,0,3.65,0,4.78,0,3.2,0,3.35,0,2.48,0,2.68,0,2.6,0,2.67,0,2.41,0,2.53,0,0.98,0,1.77,0,1.82,0,1.49,0,1.45,0,1.66,0,5.42,"🔴▲ 46,424"
2026-03-13,11.67,0,8.06,0,7.15,0,5.52,0,3.77,0,3.38,0,3.72,0,4.67,0,3.38,0,3.55,0,2.42,0,2.71,0,2.72,0,2.62,0,2.61,0,2.71,0,0.97,0,1.74,0,1.72,0,1.5,0,1.43,0,1.61,0,5.28,"🔵▼ 669,361"
2026-03-16,9.67,🔵▼ 20,8.13,🔵▼ 1,7.53,🔵▼ 1,6.1,🔴▲ 37,3.99,0,3.35,0,3.52,0,4.66,🔴▲ 1,3.44,0,3.71,0,2.37,0,5.81,🔴▲ 151,2.63,0,2.84,0,2.69,0,3.08,🔴▲ 28,0.92,🔵▼ 3,1.72,0,1.72,0,1.49,0,1.63,0,1.53,0,1.57,"🔵▼ 37,016,566"
