Date,SK하이닉스,SK하이닉스_증감,삼성전자,삼성전자_증감,현대차,현대차_증감,미래에셋증권,미래에셋증권_증감,SK스퀘어,SK스퀘어_증감,한화투자증권,한화투자증권_증감,한국금융지주,한국금융지주_증감,키움증권,키움증권_증감,한화에어로스페이스,한화에어로스페이스_증감,하나금융지주,하나금융지주_증감,한미반도체,한미반도체_증감,두산,두산_증감,우리금융지주,우리금융지주_증감,현대모비스,현대모비스_증감,현금,현금_증감,SK,SK_증감,고려아연,고려아연_증감,HD현대일렉트릭,HD현대일렉트릭_증감,한미약품,한미약품_증감,기아,기아_증감,HD현대,HD현대_증감,SK텔레콤,SK텔레콤_증감,한화시스템,한화시스템_증감,LIG넥스원,LIG넥스원_증감,포스코인터내셔널,포스코인터내셔널_증감,LS ELECTRIC,LS ELECTRIC_증감,LS,LS_증감,삼양식품,삼양식품_증감,CJ,CJ_증감,한화,한화_증감,효성중공업,효성중공업_증감,미래에셋벤처투자,미래에셋벤처투자_증감
2026-03-03,23.75,"- | ₩939,000 (-11.50%)",16.77,"- | ₩195,100 (-9.88%)",7.36,"- | ₩595,000 (-11.72%)",5.65,"- | ₩66,312 (-7.50%)",4.15,"- | ₩581,000 (-9.92%)",3.87,"- | ₩7,530 (-9.71%)",3.52,"- | ₩240,500 (-6.96%)",3.21,"- | ₩424,500 (-8.91%)",2.68,"- | ₩1,432,000 (+19.83%)",2.64,"- | ₩120,100 (-1.40%)",2.61,"- | ₩282,000 (-12.83%)",2.28,"- | ₩1,152,000 (-9.86%)",2.12,"- | ₩35,300 (-1.94%)",2,"- | ₩468,500 (-9.38%)",1.63,-,1.46,"- | ₩379,500 (-5.36%)",1.26,"- | ₩1,983,000 (-2.32%)",1.22,"- | ₩987,000 (-6.00%)",1.1,"- | ₩571,000 (-3.71%)",1.1,"- | ₩182,300 (-11.29%)",,,,,,,,,,,,,,,,,,,,,,,,
2026-03-04,22.82,"0 | ₩849,000 (-9.58%)",16.4,"0 | ₩172,200 (-11.74%)",7.05,"0 | ₩501,000 (-15.80%)",5.68,"0 | ₩56,256 (-15.16%)",4.05,"0 | ₩507,000 (-12.74%)",3.8,"0 | ₩6,290 (-16.47%)",3.56,"0 | ₩206,500 (-14.14%)",3.18,"0 | ₩372,500 (-12.25%)",3.49,"0 | ₩1,323,000 (-7.61%)",2.83,"0 | ₩105,500 (-12.16%)",2.47,"0 | ₩259,000 (-8.16%)",2.23,"0 | ₩963,000 (-16.41%)",2.25,"0 | ₩31,800 (-9.92%)",1.97,"0 | ₩399,000 (-14.83%)",1.78,"🔴▲ 130,543",1.5,"0 | ₩330,000 (-13.04%)",1.33,"0 | ₩1,632,000 (-17.70%)",1.25,"0 | ₩871,000 (-11.75%)",1.15,"0 | ₩478,000 (-16.29%)",1.06,"0 | ₩156,700 (-14.04%)",1.15,"0 | ₩261,500 (-10.14%)",,,,,,,,,,,,,,,,,,,,,,
2026-03-05,23.48,"0 | ₩941,000 (+10.84%)",16.48,"0 | ₩191,600 (+11.27%)",6.76,"0 | ₩548,000 (+9.38%)",5.48,"0 | ₩64,918 (+15.40%)",4.03,"0 | ₩566,000 (+11.64%)",3.61,"0 | ₩7,410 (+17.81%)",3.48,"0 | ₩230,500 (+11.62%)",3.17,"0 | ₩441,000 (+18.39%)",3.67,"0 | ₩1,381,000 (+4.38%)",2.83,"0 | ₩111,200 (+5.40%)",2.58,"0 | ₩315,000 (+21.62%)",2.12,"0 | ₩1,073,000 (+11.42%)",2.31,"0 | ₩33,750 (+6.13%)",1.91,"0 | ₩432,000 (+8.27%)",1.88,"🔵▼ 1,483,933",1.48,"0 | ₩359,500 (+8.94%)",1.25,"0 | ₩1,759,000 (+7.78%)",1.25,"0 | ₩984,000 (+12.97%)",1.1,"0 | ₩519,000 (+8.58%)",1.04,"0 | ₩166,400 (+6.19%)",1.18,"0 | ₩275,000 (+5.16%)",1.11,"0 | ₩77,900 (+10.81%)",,,,,,,,,,,,,,,,,,,,
2026-03-06,23.47,"0 | ₩924,000 (-1.81%)",16.53,"0 | ₩188,200 (-1.77%)",6.67,"0 | ₩553,000 (+0.91%)",5.35,"🔵▼ 64 | ₩66,810 (+2.91%)",4.1,"🔴▲ 1 | ₩553,000 (-2.30%)",3.52,"🔵▼ 497 | ₩7,600 (+2.56%)",3.38,"🔵▼ 6 | ₩230,000 (-0.22%)",2.85,"🔵▼ 14 | ₩435,500 (-1.25%)",3.46,"0 | ₩1,481,000 (+7.24%)",2.69,"0 | ₩110,300 (-0.81%)",2.83,"0 | ₩333,500 (+5.87%)",2.13,"0 | ₩1,050,000 (-2.14%)",2.11,"🔵▼ 34 | ₩33,050 (-2.07%)",1.86,"0 | ₩444,000 (+2.78%)",1.26,"🔵▼ 5,028,274",1.46,"0 | ₩358,500 (-0.28%)",1.21,"0 | ₩1,752,000 (-0.40%)",1.27,"0 | ₩968,000 (-1.63%)",1.08,"0 | ₩516,000 (-0.58%)",0.99,"0 | ₩167,000 (+0.36%)",1.12,"0 | ₩279,000 (+1.45%)",1.11,"0 | ₩76,500 (-1.80%)",1.3,"🔴▲ 100 | ₩158,900 (+5.37%)",1.25,"🔴▲ 19 | ₩834,000 (+9.31%)",,,,,,,,,,,,,,,,
2026-03-09,23.07,"0 | ₩836,000 (-9.52%)",16.26,"0 | ₩173,500 (-7.81%)",6.74,"0 | ₩507,000 (-8.32%)",5.51,"0 | ₩63,922 (-4.32%)",4.01,"0 | ₩509,000 (-7.96%)",3.61,"0 | ₩6,950 (-8.55%)",3.38,"0 | ₩218,000 (-5.22%)",2.82,"0 | ₩415,000 (-4.71%)",3.71,"0 | ₩1,434,000 (-3.17%)",2.67,"0 | ₩107,900 (-2.18%)",3,"0 | ₩305,000 (-8.55%)",2.09,"0 | ₩980,000 (-6.67%)",2.07,"0 | ₩31,550 (-4.54%)",1.92,"0 | ₩409,000 (-7.88%)",1.15,"🔵▼ 1,268,011",1.46,"0 | ₩329,000 (-8.23%)",1.21,"0 | ₩1,596,000 (-8.90%)",1.25,"0 | ₩907,000 (-6.30%)",1.07,"0 | ₩481,500 (-6.69%)",1,"0 | ₩153,400 (-8.14%)",1.13,"0 | ₩263,000 (-5.73%)",1.09,"0 | ₩75,800 (-0.92%)",1.37,"0 | ₩162,700 (+2.39%)",1.37,"0 | ₩796,000 (-4.56%)",,,,,,,,,,,,,,,,
2026-03-10,22.43,"0 | ₩938,000 (+12.20%)",16.11,"0 | ₩187,900 (+8.30%)",6.64,"0 | ₩525,000 (+3.55%)",5.66,"🔵▼ 1 | ₩64,321 (+0.62%)",3.97,"0 | ₩554,000 (+8.84%)",3.55,"🔵▼ 3 | ₩7,230 (+4.03%)",3.44,"0 | ₩220,000 (+0.92%)",2.81,"🔵▼ 2 | ₩426,500 (+2.77%)",3.86,"0 | ₩1,455,000 (+1.46%)",2.81,"0 | ₩109,900 (+1.85%)",2.95,"0 | ₩324,000 (+6.23%)",2.09,"0 | ₩1,053,000 (+7.45%)",1.61,"🔵▼ 175 | ₩32,100 (+1.74%)",1.9,"0 | ₩423,000 (+3.42%)",1.1,"🔵▼ 1,510,808",1.44,"0 | ₩351,000 (+6.69%)",1.19,"0 | ₩1,625,000 (+1.82%)",1.26,"0 | ₩941,000 (+3.75%)",0,"🔵▼ 24 | ₩511,000 (+6.13%)",0.98,"0 | ₩161,000 (+4.95%)",1.15,"0 | ₩269,000 (+2.28%)",1.16,"0 | ₩77,200 (+1.85%)",1.5,"🔵▼ 1 | ₩156,200 (-4.00%)",1.33,"🔵▼ 1 | ₩759,000 (-4.65%)",1.78,"🔴▲ 250 | ₩75,800 (-1.04%)",,,,,,,,,,,,,,
2026-03-11,23.77,"0 | ₩955,000 (+1.81%)",16.48,"0 | ₩190,000 (+1.12%)",6.49,"0 | ₩530,000 (+0.95%)",3.97,"🔵▼ 249 | ₩71,091 (+10.53%)",4.03,"🔵▼ 1 | ₩565,000 (+1.99%)",3.49,"🔴▲ 4 | ₩7,390 (+2.21%)",3.28,"0 | ₩229,500 (+4.32%)",3.74,"🔴▲ 27 | ₩450,000 (+5.51%)",3.7,"0 | ₩1,410,000 (-3.09%)",2.7,"0 | ₩113,400 (+3.18%)",2.96,"0 | ₩312,500 (-3.55%)",2.12,"0 | ₩1,101,000 (+4.56%)",1.55,"🔴▲ 2 | ₩33,350 (+3.89%)",1.86,"0 | ₩423,000 (+0.00%)",1.16,"🔴▲ 1,363,366",1.45,"0 | ₩359,500 (+2.42%)",1.14,"0 | ₩1,666,000 (+2.52%)",1.24,"0 | ₩939,000 (-0.21%)",0,"🔵▼ 24 | ₩490,000 (-4.11%)",0.97,"0 | ₩162,000 (+0.62%)",1.11,"0 | ₩278,000 (+3.35%)",1.12,"0 | ₩77,900 (+0.91%)",1.36,"0 | ₩147,700 (-5.44%)",1.2,"0 | ₩742,000 (-2.24%)",1.99,"🔴▲ 50 | ₩76,400 (+0.79%)",,,,,,,,,,,,,,
2026-03-12,23.78,"0 | ₩930,000 (-2.62%)",16.37,"0 | ₩187,900 (-1.11%)",6.44,"0 | ₩521,000 (-1.70%)",4.31,"0 | ₩70,096 (-1.40%)",4.04,"0 | ₩554,000 (-1.95%)",3.5,"0 | ₩7,400 (+0.14%)",3.36,"0 | ₩227,000 (-1.09%)",3.88,"0 | ₩450,000 (+0.00%)",3.52,"0 | ₩1,465,000 (+3.90%)",2.74,"0 | ₩112,500 (-0.79%)",2.8,"0 | ₩317,000 (+1.44%)",2.18,"0 | ₩1,143,000 (+3.81%)",1.59,"0 | ₩32,500 (-2.55%)",1.82,"0 | ₩414,500 (-2.01%)",1.18,"🔴▲ 450,731",1.46,"0 | ₩336,000 (-6.54%)",1.15,"0 | ₩1,674,000 (+0.48%)",1.21,"0 | ₩944,000 (+0.53%)",0,"🔵▼ 24 | ₩488,000 (-0.41%)",0.96,"0 | ₩167,000 (+3.09%)",1.13,"0 | ₩276,500 (-0.54%)",1.11,"0 | ₩76,200 (-2.18%)",1.26,"0 | ₩152,300 (+3.11%)",1.15,"0 | ₩755,000 (+1.75%)",1.98,"0 | ₩79,500 (+4.06%)",,,,,,,,,,,,,,
2026-03-13,23.37,"0 | ₩910,000 (-2.15%)",16.34,"0 | ₩183,500 (-2.34%)",6.39,"0 | ₩517,000 (-0.77%)",4.29,"0 | ₩69,200 (-1.28%)",4,"0 | ₩534,000 (-3.61%)",3.54,"0 | ₩7,150 (-3.38%)",3.36,"0 | ₩219,500 (-3.30%)",3.91,"0 | ₩429,000 (-4.67%)",3.7,"0 | ₩1,488,000 (+1.57%)",2.74,"0 | ₩108,900 (-3.20%)",2.87,"0 | ₩305,500 (-3.63%)",2.29,"0 | ₩1,099,000 (-3.85%)",1.56,"0 | ₩32,200 (-0.92%)",1.8,"0 | ₩404,000 (-2.53%)",1.12,"🔵▼ 805,603",1.37,"0 | ₩331,000 (-1.49%)",1.17,"0 | ₩1,628,000 (-2.75%)",1.23,"0 | ₩929,000 (-1.59%)",0,"🔵▼ 24 | ₩496,500 (+1.74%)",1,"0 | ₩164,300 (-1.62%)",1.13,"0 | ₩262,500 (-5.06%)",1.09,"0 | ₩75,000 (-1.57%)",1.31,"0 | ₩144,400 (-5.19%)",1.18,"0 | ₩723,000 (-4.24%)",2.07,"0 | ₩73,700 (-7.30%)",,,,,,,,,,,,,,
2026-03-16,23.4,"0 | ₩974,000 (+7.03%)",16.33,"0 | ₩188,700 (+2.83%)",6.49,"0 | ₩506,000 (-2.13%)",4.63,"🔴▲ 49 | ₩70,900 (+2.46%)",3.94,"0 | ₩562,000 (+5.24%)",3.5,"0 | ₩7,420 (+3.78%)",3.32,"0 | ₩223,500 (+1.82%)",3.82,"0 | ₩430,000 (+0.23%)",3.84,"0 | ₩1,476,000 (-0.81%)",2.71,"0 | ₩108,400 (-0.46%)",2.83,"0 | ₩300,000 (-1.80%)",2.25,"0 | ₩1,088,000 (-1.00%)",1.58,"0 | ₩31,900 (-0.93%)",1.8,"0 | ₩401,000 (-0.74%)",0.88,"🔵▼ 2,960,634",1.38,"0 | ₩330,500 (-0.15%)",1.16,"0 | ₩1,600,000 (-1.72%)",1.24,"0 | ₩905,000 (-2.58%)",0,"🔵▼ 24 | ₩500,000 (+0.70%)",1.01,"0 | ₩162,000 (-1.40%)",1.1,"0 | ₩263,000 (+0.19%)",1.1,"0 | ₩76,300 (+1.73%)",1.27,"0 | ₩140,000 (-3.05%)",1.16,"0 | ₩730,000 (+0.97%)",1.97,"0 | ₩73,800 (+0.14%)",,,,,,,,,,,,,,
2026-03-17,24.51,"0 | ₩970,000 (-0.41%)",16.43,"0 | ₩193,900 (+2.76%)",6.21,"0 | ₩522,000 (+3.16%)",4.62,"0 | ₩69,100 (-2.54%)",4.06,"0 | ₩587,000 (+4.45%)",3.55,"0 | ₩7,420 (+0.00%)",3.31,"0 | ₩233,500 (+4.47%)",3.74,"0 | ₩444,000 (+3.26%)",3.73,"0 | ₩1,396,000 (-5.42%)",2.64,"0 | ₩109,900 (+1.38%)",2.72,"0 | ₩301,000 (+0.33%)",2.18,"0 | ₩1,110,000 (+2.02%)",1.53,"0 | ₩32,600 (+2.19%)",1.75,"0 | ₩412,500 (+2.87%)",0.85,"🔵▼ 110,159",1.35,"0 | ₩340,000 (+2.87%)",1.12,"0 | ₩1,612,000 (+0.75%)",1.18,"0 | ₩931,000 (+2.87%)",0,"🔵▼ 24 | ₩520,000 (+4.00%)",0.97,"0 | ₩167,300 (+3.27%)",1.08,"0 | ₩268,500 (+2.09%)",1.1,"0 | ₩79,700 (+4.46%)",1.21,"0 | ₩138,900 (-0.79%)",1.14,"0 | ₩705,000 (-3.42%)",1.93,"0 | ₩72,000 (-2.44%)",,,,,,,,,,,,,,
2026-03-18,24.15,"0 | ₩1,056,000 (+8.87%)",16.71,"0 | ₩208,500 (+7.53%)",6.34,"0 | ₩545,000 (+4.41%)",4.46,"0 | ₩69,900 (+1.16%)",4.2,"0 | ₩630,000 (+7.33%)",3.52,"0 | ₩7,540 (+1.62%)",3.42,"0 | ₩241,000 (+3.21%)",3.83,"0 | ₩469,000 (+5.63%)",3.49,"0 | ₩1,390,000 (-0.43%)",2.65,"0 | ₩114,500 (+4.19%)",2.7,"0 | ₩311,000 (+3.32%)",2.2,"0 | ₩1,189,000 (+7.12%)",1.55,"0 | ₩33,500 (+2.76%)",1.78,"0 | ₩430,000 (+4.24%)",0.88,"🔴▲ 452,705",1.38,"0 | ₩352,500 (+3.68%)",1.11,"0 | ₩1,695,000 (+5.15%)",1.2,"0 | ₩974,000 (+4.62%)",0,"🔵▼ 24 | ₩531,000 (+2.12%)",1,"0 | ₩175,100 (+4.66%)",1.09,"0 | ₩275,500 (+2.61%)",1.13,"0 | ₩81,200 (+1.88%)",1.19,"0 | ₩139,800 (+0.65%)",1.09,"0 | ₩689,000 (-2.27%)",1.86,"0 | ₩71,600 (-0.56%)",,,,,,,,,,,,,,
2026-03-19,24.93,"0 | ₩1,013,000 (-4.07%)",17.03,"0 | ₩200,500 (-3.84%)",6.28,"0 | ₩522,000 (-4.22%)",4.28,"0 | ₩66,700 (-4.58%)",4.27,"0 | ₩611,000 (-3.02%)",3.39,"0 | ₩7,380 (-2.12%)",3.35,"0 | ₩229,000 (-4.98%)",3.83,"0 | ₩449,000 (-4.26%)",3.29,"0 | ₩1,375,000 (-1.08%)",2.62,"0 | ₩113,200 (-1.14%)",2.64,"0 | ₩307,000 (-1.29%)",2.23,"0 | ₩1,149,000 (-3.36%)",1.51,"0 | ₩33,600 (+0.30%)",1.76,"0 | ₩413,000 (-3.95%)",0.87,"🔴▲ 390,012",1.35,"0 | ₩346,000 (-1.84%)",1.11,"0 | ₩1,612,000 (-4.90%)",1.19,"0 | ₩958,000 (-1.64%)",0,"🔵▼ 24 | ₩519,000 (-2.26%)",0.99,"0 | ₩170,500 (-2.63%)",1.06,"0 | ₩261,000 (-5.26%)",1.1,"0 | ₩78,200 (-3.69%)",1.13,"0 | ₩141,000 (+0.86%)",1.01,"0 | ₩702,000 (+1.89%)",1.76,"0 | ₩71,800 (+0.28%)",,,,,,,,,,,,,,
2026-03-20,24.68,"0 | ₩1,007,000 (-0.59%)",16.9,"0 | ₩199,400 (-0.55%)",6.21,"0 | ₩517,000 (-0.96%)",3.97,"🔵▼ 43 | ₩67,700 (+1.50%)",4.28,"0 | ₩608,000 (-0.49%)",3.42,"0 | ₩7,920 (+7.32%)",3.28,"0 | ₩234,500 (+2.40%)",3.79,"0 | ₩460,500 (+2.56%)",3.36,"0 | ₩1,320,000 (-4.00%)",2.67,"0 | ₩113,200 (+0.00%)",2.69,"0 | ₩309,500 (+0.81%)",2.23,"0 | ₩1,186,000 (+3.22%)",1.54,"🔵▼ 9 | ₩33,900 (+0.89%)",1.74,"0 | ₩400,500 (-3.03%)",1.2,"🔴▲ 3,635,213",1.37,"0 | ₩360,000 (+4.05%)",1.09,"0 | ₩1,587,000 (-1.55%)",1.21,"0 | ₩959,000 (+0.10%)",0,"🔵▼ 24 | ₩560,000 (+7.90%)",0.99,"0 | ₩168,500 (-1.17%)",1.03,"0 | ₩265,500 (+1.72%)",1.09,"0 | ₩78,800 (+0.77%)",1.18,"0 | ₩136,000 (-3.55%)",1.07,"0 | ₩661,000 (-5.84%)",0.79,"🔵▼ 170 | ₩77,000 (+7.24%)",1.1,"0 | ₩886,000 (+1.49%)",,,,,,,,,,,,
