Date,삼성전자,삼성전자_증감,한화솔루션,한화솔루션_증감,SK하이닉스,SK하이닉스_증감,현대차,현대차_증감,LS ELECTRIC,LS ELECTRIC_증감,삼성SDI,삼성SDI_증감,비에이치아이,비에이치아이_증감,한화,한화_증감,기아,기아_증감,SNT에너지,SNT에너지_증감,현대모비스,현대모비스_증감,HD현대중공업,HD현대중공업_증감,동진쎄미켐,동진쎄미켐_증감,고려아연,고려아연_증감,에코프로머티,에코프로머티_증감,산일전기,산일전기_증감,솔브레인,솔브레인_증감,SGC에너지,SGC에너지_증감,선익시스템,선익시스템_증감,엔켐,엔켐_증감,삼성물산,삼성물산_증감,비나텍,비나텍_증감,원익IPS,원익IPS_증감,대주전자재료,대주전자재료_증감,씨에스윈드,씨에스윈드_증감
2026-03-03,9.74,-,9.38,-,9.2,-,8.58,-,7.84,-,7.22,-,5.86,-,4.79,-,4.55,-,3.56,-,3.24,-,3.05,-,3.04,-,3.0,-,2.65,-,2.47,-,1.92,-,1.86,-,1.69,-,1.64,-,,,,,,,,,,
2026-03-04,9.55,0,9.31,0,8.85,0,8.23,0,7.73,0,6.87,0,6.21,0,5.28,0,4.39,0,3.68,0,3.19,0,3.24,0,3.18,0,3.18,0,2.72,0,2.42,0,2.07,0,1.91,0,1.7,0,1.53,0,1.53,0,,,,,,,,
2026-03-05,9.87,0,9.01,0,9.38,0,8.12,0,7.94,0,6.93,0,5.95,0,5.06,0,4.42,0,3.54,0,3.19,0,3.29,0,3.18,0,3.07,0,2.6,0,2.42,0,2.01,0,1.84,0,1.79,0,1.52,0,1.53,0,,,,,,,,
2026-03-06,9.9,0,9.03,0,9.37,0,8.01,0,8.02,0,6.98,0,5.82,0,5.14,0,4.23,0,3.57,0,3.11,0,3.24,0,3.29,0,2.98,0,2.68,0,2.44,0,2.36,0,1.89,0,1.8,0,1.48,0,1.49,0,,,,,,,,
2026-03-09,9.11,🔵▼ 30,10.75,🔴▲ 300,8.91,🔴▲ 2,7.87,🔴▲ 5,4.58,🔵▼ 110,7.03,🔴▲ 1,6.56,🔴▲ 2,5.12,🔵▼ 1,4.08,0,0.0,"🔵▼ 2,100",3.07,0,3.09,0,3.36,0,2.85,0,2.88,🔴▲ 1,3.58,🔴▲ 198,0.0,🔵▼ 117,0.0,"🔵▼ 1,000",0.0,🔵▼ 350,1.52,0,1.38,0,5.63,"🔴▲ 1,028",2.47,🔴▲ 440,2.08,🔴▲ 430,1.74,🔴▲ 820
2026-03-10,9.11,🔴▲ 28,11.1,0,7.39,🔵▼ 32,7.65,0,4.7,0,7.06,0,7.17,0,5.05,0,3.97,0,0.0,"🔵▼ 2,100",3.0,0,3.4,0,3.19,0,2.75,0,2.84,0,3.58,0,0.0,🔵▼ 117,0.0,"🔵▼ 1,000",0.0,🔵▼ 350,1.51,0,1.4,0,5.54,0,2.36,0,2.15,0,1.75,0
2026-03-11,9.44,0,10.62,0,7.93,0,7.58,0,4.78,0,7.0,0,7.37,0,4.93,0,3.98,0,0.0,"🔵▼ 2,100",2.97,0,3.29,0,3.25,0,2.68,0,2.76,0,3.61,0,0.0,🔵▼ 117,0.0,"🔵▼ 1,000",0.0,🔵▼ 350,1.46,0,1.35,0,5.68,0,2.28,0,2.02,0,1.73,0
2026-03-12,9.48,0,10.74,0,8.02,0,7.6,0,4.73,0,6.9,0,7.0,0,5.04,0,3.98,0,0.0,"🔵▼ 2,100",2.95,0,3.31,0,3.09,0,2.73,0,2.83,0,3.55,0,0.0,🔵▼ 117,0.0,"🔵▼ 1,000",0.0,🔵▼ 350,1.4,0,1.39,0,6.21,0,2.16,0,1.87,0,1.74,0
2026-03-13,9.36,0,11.06,0,7.8,0,7.46,0,4.84,0,6.89,0,6.94,0,4.99,0,4.1,0,0.0,"🔵▼ 2,100",2.88,0,3.39,0,3.12,0,2.74,0,2.8,0,3.52,0,0.0,🔵▼ 117,0.0,"🔵▼ 1,000",0.0,🔵▼ 350,1.37,0,1.38,0,6.08,0,2.22,0,1.96,0,1.88,0
2026-03-16,9.33,0,10.37,0,7.79,0,7.55,0,4.99,0,6.82,0,7.36,0,4.84,0,4.12,0,0.0,"🔵▼ 2,100",2.87,0,3.41,0,3.14,0,2.72,0,2.65,0,3.52,0,0.0,🔵▼ 117,0.0,"🔵▼ 1,000",0.0,🔵▼ 350,1.4,0,1.41,0,6.49,0,2.19,0,1.97,0,1.9,0
2026-03-17,9.7,0,9.91,0,8.42,0,7.47,0,4.95,0,6.8,0,7.29,0,4.95,0,4.1,0,0.0,"🔵▼ 2,100",2.88,0,3.37,0,3.17,0,2.7,0,2.61,0,3.46,0,0.0,🔵▼ 117,0.0,"🔵▼ 1,000",0.0,🔵▼ 350,1.38,0,1.41,0,6.01,0,2.25,0,2.01,0,1.94,0
2026-03-18,9.79,0,10.45,0,8.24,0,7.57,0,5.05,0,6.79,0,7.41,0,4.81,0,4.16,0,0.0,"🔵▼ 2,100",2.91,0,3.33,0,3.06,0,2.67,0,2.57,0,3.48,0,0.0,🔵▼ 117,0.0,"🔵▼ 1,000",0.0,🔵▼ 350,1.35,0,1.39,0,5.58,0,2.16,0,2.02,0,1.98,0
2026-03-19,10.05,0,10.25,0,8.57,0,7.55,0,5.28,0,6.75,0,7.11,0,4.72,0,4.16,0,0.0,"🔵▼ 2,100",2.89,0,3.2,0,3.04,0,2.68,0,2.49,0,3.68,0,0.0,🔵▼ 117,0.0,"🔵▼ 1,000",0.0,🔵▼ 350,1.29,0,1.42,0,5.52,0,2.17,0,2.02,0,1.92,0
2026-03-20,9.86,0,10.25,0,8.39,0,7.38,0,5.64,0,6.84,0,7.17,0,4.66,0,4.13,0,0.0,"🔵▼ 2,100",2.84,0,3.14,0,2.94,0,2.6,0,2.45,0,3.68,0,0.0,🔵▼ 117,0.0,"🔵▼ 1,000",0.0,🔵▼ 350,1.25,0,1.41,0,5.79,0,2.15,0,2.08,0,2.15,0
2026-03-23,9.7,0,10.53,0,8.25,0,7.23,0,5.66,0,6.74,0,7.45,0,4.58,0,4.04,0,0.0,"🔵▼ 2,100",2.72,0,3.06,0,2.98,0,2.54,0,2.5,0,3.82,0,0.0,🔵▼ 117,0.0,"🔵▼ 1,000",0.0,🔵▼ 350,1.14,0,1.43,0,5.9,0,2.2,0,2.17,0,2.17,0
2026-03-24,9.71,"0 | ₩186,300 (-6.57%)",10.15,"0 | ₩46,500 (-10.06%)",8.19,"0 | ₩933,000 (-7.35%)",7.27,"0 | ₩485,000 (-6.19%)",5.64,"0 | ₩823,000 (-7.11%)",6.79,"0 | ₩376,500 (-5.99%)",7.58,"0 | ₩104,000 (-5.02%)",4.41,"0 | ₩108,600 (-10.02%)",4.15,"0 | ₩161,700 (-4.04%)",0.0,"🔵▼ 2,100 | ₩54,200 (+1.69%)",2.77,"0 | ₩381,000 (-4.87%)",2.94,"0 | ₩502,000 (-10.20%)",2.89,"0 | ₩44,950 (-9.74%)",2.55,"0 | ₩1,486,000 (-6.36%)",2.61,"0 | ₩61,000 (-2.40%)",3.92,"0 | ₩152,700 (-4.08%)",0.0,"🔵▼ 117 | ₩398,500 (-6.89%)",0.0,"🔵▼ 1,000 | ₩57,300 (-8.32%)",0.0,"🔵▼ 350 | ₩94,900 (-8.04%)",1.07,"0 | ₩42,750 (-12.84%)",1.41,"0 | ₩274,500 (-7.73%)",5.84,"0 | ₩132,600 (-7.72%)",2.19,"0 | ₩116,200 (-7.04%)",2.3,"0 | ₩124,700 (-1.19%)",2.22,"0 | ₩63,300 (-4.24%)"
