Date,에코프로,에코프로_증감,에코프로비엠,에코프로비엠_증감,삼천당제약,삼천당제약_증감,에이비엘바이오,에이비엘바이오_증감,레인보우로보틱스,레인보우로보틱스_증감,알테오젠,알테오젠_증감,파두,파두_증감,리노공업,리노공업_증감,리가켐바이오,리가켐바이오_증감,알지노믹스,알지노믹스_증감,에스티팜,에스티팜_증감,한국피아이엠,한국피아이엠_증감,에임드바이오,에임드바이오_증감,리브스메드,리브스메드_증감,브이엠,브이엠_증감,원익IPS,원익IPS_증감,로보티즈,로보티즈_증감,아이티센글로벌,아이티센글로벌_증감,쎄트렉아이,쎄트렉아이_증감,이오테크닉스,이오테크닉스_증감,기가비스,기가비스_증감,오름테라퓨틱,오름테라퓨틱_증감,지투지바이오,지투지바이오_증감,현금,현금_증감,ISC,ISC_증감,올릭스,올릭스_증감
2026-03-10,9.76,"- | ₩164,500 (+0.43%)",6.89,"- | ₩203,000 (+0.25%)",6.27,"- | ₩786,000 (+2.48%)",5.13,"- | ₩185,200 (-2.37%)",5.03,"- | ₩766,000 (+3.65%)",3.62,"- | ₩375,500 (+2.46%)",3.06,"- | ₩63,700 (-0.78%)",2.52,"- | ₩119,500 (+1.10%)",2.4,"- | ₩180,500 (-5.15%)",2.38,"- | ₩170,900 (+0.35%)",2.21,"- | ₩159,600 (-1.54%)",2.18,"- | ₩169,900 (+25.85%)",2.13,"- | ₩64,400 (+2.71%)",2.12,"- | ₩84,300 (+1.32%)",2.04,"- | ₩41,350 (+3.63%)",2.01,"- | ₩125,900 (+1.29%)",1.98,"- | ₩258,500 (+10.94%)",1.94,"- | ₩62,300 (+11.45%)",1.88,"- | ₩191,000 (+10.47%)",1.83,"- | ₩419,000 (+1.45%)",,,,,,,,,,,,
2026-03-11,9.45,"0 | ₩161,600 (-1.76%)",6.66,"0 | ₩197,500 (-2.71%)",6.19,"0 | ₩774,000 (-1.53%)",4.83,"0 | ₩182,400 (-1.51%)",5.03,"0 | ₩748,000 (-2.35%)",3.57,"0 | ₩360,000 (-4.13%)",2.93,"0 | ₩63,200 (-0.78%)",2.45,"0 | ₩113,700 (-4.85%)",2.19,"0 | ₩179,600 (-0.50%)",2.3,"0 | ₩166,800 (-2.40%)",2.1,"0 | ₩158,900 (-0.44%)",2.65,"0 | ₩137,000 (-19.36%)",2.11,"0 | ₩65,100 (+1.09%)",2.08,"0 | ₩87,800 (+4.15%)",2.04,"0 | ₩40,000 (-3.26%)",1.96,"0 | ₩120,000 (-4.69%)",2.12,"0 | ₩249,000 (-3.68%)",2.09,"0 | ₩67,200 (+7.87%)",2.01,"0 | ₩190,700 (-0.16%)",1.79,"0 | ₩398,500 (-4.89%)",1.82,"0 | ₩77,400 (+4.59%)",,,,,,,,,,
2026-03-12,9.45,"0 | ₩158,000 (-2.23%)",6.6,"0 | ₩197,700 (+0.10%)",6.21,"0 | ₩787,000 (+1.68%)",4.84,"0 | ₩181,200 (-0.66%)",5,"0 | ₩760,000 (+1.60%)",3.49,"0 | ₩372,500 (+3.47%)",2.96,"0 | ₩66,600 (+5.38%)",2.37,"0 | ₩117,800 (+3.61%)",2.22,"0 | ₩183,700 (+2.28%)",2.29,"0 | ₩179,600 (+7.67%)",2.12,"0 | ₩157,400 (-0.94%)",2.17,"0 | ₩128,700 (-6.06%)",2.18,"0 | ₩70,300 (+7.99%)",2.2,"0 | ₩87,700 (-0.11%)",2,"0 | ₩39,550 (-1.12%)",1.9,"0 | ₩123,500 (+2.92%)",2.08,"0 | ₩256,500 (+3.01%)",2.29,"0 | ₩71,900 (+6.99%)",2.04,"0 | ₩208,000 (+9.07%)",1.73,"0 | ₩410,500 (+3.01%)",1.94,"0 | ₩76,500 (-1.16%)",,,,,,,,,,
2026-03-13,8.08,"🔵▼ 40 | ₩150,500 (-4.75%)",5.87,"🔵▼ 20 | ₩191,300 (-3.24%)",6.23,"0 | ₩772,000 (-1.91%)",4.75,"0 | ₩188,000 (+3.75%)",5.01,"0 | ₩751,000 (-1.18%)",2.46,"🔵▼ 18 | ₩361,500 (-2.95%)",3.3,"🔴▲ 20 | ₩66,200 (-0.60%)",2.43,"0 | ₩113,500 (-3.65%)",2.24,"0 | ₩201,000 (+9.42%)",2.96,"🔴▲ 18 | ₩192,600 (+7.24%)",2.08,"0 | ₩160,700 (+2.10%)",2.02,"0 | ₩120,000 (-6.76%)",2.32,"0 | ₩69,400 (-1.28%)",2.17,"0 | ₩88,700 (+1.14%)",1.96,"0 | ₩38,700 (-2.15%)",1.94,"0 | ₩119,000 (-3.64%)",2.12,"0 | ₩258,500 (+0.78%)",3.32,"🔴▲ 76 | ₩70,500 (-1.95%)",2.2,"0 | ₩194,200 (-6.63%)",1.76,"0 | ₩410,500 (+0.00%)",1.89,"0 | ₩72,300 (-5.49%)",2.61,"🔴▲ 29 | ₩139,500 (+5.68%)",,,,,,,,
2026-03-16,3.71,"🔵▼ 160 | ₩145,900 (-3.06%)",0,"🔵▼ 180 | ₩187,400 (-2.04%)",6.09,"0 | ₩730,000 (-5.44%)",6.49,"🔴▲ 51 | ₩187,000 (-0.53%)",5.56,"🔴▲ 5 | ₩720,000 (-4.13%)",1.78,"🔵▼ 10 | ₩355,000 (-1.80%)",3.48,"🔴▲ 20 | ₩69,300 (+4.68%)",2.33,"0 | ₩112,000 (-1.32%)",3.31,"🔴▲ 26 | ₩201,000 (+0.00%)",3.17,"0 | ₩193,900 (+0.67%)",2.11,"0 | ₩155,100 (-3.48%)",1.88,"0 | ₩112,500 (-6.25%)",2.63,"🔴▲ 30 | ₩64,300 (-7.35%)",3.36,"🔴▲ 80 | ₩83,700 (-5.64%)",1.91,"0 | ₩40,000 (+3.36%)",1.86,"0 | ₩121,100 (+1.76%)",2.13,"0 | ₩249,000 (-3.68%)",3.25,"0 | ₩69,400 (-1.56%)",2.04,"0 | ₩193,200 (-0.51%)",1.76,"0 | ₩410,000 (-0.12%)",1.78,"0 | ₩70,100 (-3.04%)",2.75,"0 | ₩131,100 (-6.02%)",2.35,"🔴▲ 20 | ₩100,200 (-15.66%)",,,,,,
2026-03-17,3.68,"0 | ₩149,300 (+2.33%)",0,"🔵▼ 180 | ₩193,500 (+3.26%)",5.89,"0 | ₩739,000 (+1.23%)",6.6,"0 | ₩191,000 (+2.14%)",5.45,"0 | ₩721,000 (+0.14%)",1.79,"0 | ₩354,500 (-0.14%)",3.73,"0 | ₩62,700 (-9.52%)",2.35,"0 | ₩110,000 (-1.79%)",3.38,"0 | ₩210,000 (+4.48%)",3.26,"0 | ₩185,800 (-4.18%)",2.09,"0 | ₩153,400 (-1.10%)",1.8,"0 | ₩111,000 (-1.33%)",2.49,"0 | ₩60,000 (-6.69%)",3.24,"0 | ₩83,800 (+0.12%)",2.02,"0 | ₩41,050 (+2.63%)",1.93,"0 | ₩118,600 (-2.06%)",2.09,"0 | ₩252,000 (+1.20%)",3.27,"0 | ₩70,100 (+1.01%)",2.08,"0 | ₩187,500 (-2.95%)",1.79,"0 | ₩394,500 (-3.78%)",1.77,"0 | ₩70,400 (+0.43%)",2.65,"0 | ₩121,500 (-7.32%)",2.02,"0 | ₩93,500 (-6.69%)",,,,,,
2026-03-18,2.81,"🔵▼ 40 | ₩154,000 (+3.15%)",0,"🔵▼ 180 | ₩196,500 (+1.55%)",6.08,"0 | ₩784,000 (+6.09%)",6.87,"0 | ₩195,500 (+2.36%)",5.56,"0 | ₩740,000 (+2.64%)",1.88,"🔴▲ 1 | ₩355,000 (+0.14%)",3.43,"🔵▼ 1 | ₩62,500 (-0.32%)",2.36,"0 | ₩116,600 (+6.00%)",3.6,"0 | ₩211,000 (+0.48%)",3.18,"0 | ₩195,600 (+5.27%)",2.1,"0 | ₩155,800 (+1.56%)",1.81,"0 | ₩109,400 (-1.44%)",2.34,"🔵▼ 2 | ₩60,500 (+0.83%)",3.3,"0 | ₩85,300 (+1.79%)",2.11,"0 | ₩45,900 (+11.81%)",1.93,"0 | ₩124,500 (+4.97%)",2.16,"0 | ₩263,000 (+4.37%)",3.36,"0 | ₩67,000 (-4.42%)",2.06,"0 | ₩193,200 (+3.04%)",1.76,"0 | ₩410,500 (+4.06%)",1.81,"0 | ₩77,300 (+9.80%)",2.5,"0 | ₩129,600 (+6.67%)",1.28,"🔵▼ 40 | ₩91,600 (-2.03%)",2.48,"🔴▲ 5,734,467",2.17,"🔴▲ 16 | ₩230,000 (+9.00%)",,
2026-03-19,2.82,"0 | ₩151,100 (-1.88%)",0,"🔵▼ 180 | ₩189,700 (-3.46%)",6.26,"0 | ₩795,000 (+1.40%)",6.83,"0 | ₩190,000 (-2.81%)",5.54,"0 | ₩718,000 (-2.97%)",1.83,"0 | ₩360,000 (+1.41%)",3.32,"0 | ₩57,000 (-8.80%)",2.43,"0 | ₩117,100 (+0.43%)",3.51,"0 | ₩199,900 (-5.26%)",3.26,"0 | ₩214,000 (+9.41%)",2.08,"0 | ₩149,500 (-4.04%)",1.73,"0 | ₩118,500 (+8.32%)",2.3,"0 | ₩56,300 (-6.94%)",3.27,"0 | ₩81,700 (-4.22%)",2.29,"0 | ₩48,800 (+6.32%)",1.97,"0 | ₩120,900 (-2.89%)",2.19,"0 | ₩267,000 (+1.52%)",3.12,"0 | ₩65,200 (-2.69%)",2.06,"0 | ₩186,200 (-3.62%)",1.78,"0 | ₩412,500 (+0.49%)",1.93,"0 | ₩78,400 (+1.42%)",2.59,"0 | ₩124,900 (-3.63%)",1.22,"0 | ₩86,900 (-5.13%)",2.27,"🔵▼ 828,656",2.3,"0 | ₩244,500 (+6.30%)",,
2026-03-20,3.83,"🔴▲ 40 | ₩150,900 (-0.13%)",0,"🔵▼ 180 | ₩191,900 (+1.16%)",6.44,"0 | ₩907,000 (+14.09%)",6.73,"0 | ₩190,500 (+0.26%)",5.45,"0 | ₩659,000 (-8.22%)",1.88,"0 | ₩353,500 (-1.81%)",3.07,"0 | ₩59,200 (+3.86%)",2.47,"0 | ₩111,700 (-4.61%)",3.37,"0 | ₩213,000 (+6.55%)",3.61,"0 | ₩214,500 (+0.23%)",2.02,"0 | ₩150,800 (+0.87%)",1.9,"0 | ₩120,700 (+1.86%)",2.17,"0 | ₩55,300 (-1.78%)",3.17,"0 | ₩81,500 (-0.24%)",2.47,"0 | ₩47,650 (-2.36%)",1.94,"0 | ₩125,000 (+3.39%)",2.25,"0 | ₩261,000 (-2.25%)",3.08,"0 | ₩61,500 (-5.67%)",2.01,"0 | ₩176,100 (-5.42%)",1.81,"0 | ₩429,500 (+4.12%)",1.99,"0 | ₩78,700 (+0.38%)",2.53,"0 | ₩126,300 (+1.12%)",1.19,"🔴▲ 1 | ₩89,200 (+2.65%)",1,"🔵▼ 7,693,900",2.48,"0 | ₩247,000 (+1.02%)",,
2026-03-23,3.77,"0 | ₩139,600 (-7.49%)",0,"🔵▼ 180 | ₩179,100 (-6.67%)",7.25,"0 | ₩941,000 (+3.75%)",6.34,"🔵▼ 10 | ₩168,800 (-11.39%)",3.29,"🔵▼ 15 | ₩594,000 (-9.86%)",1.82,"0 | ₩330,500 (-6.51%)",2.76,"🔵▼ 39 | ₩56,000 (-5.41%)",1.86,"🔵▼ 25 | ₩106,100 (-5.01%)",3.55,"0 | ₩191,700 (-10.00%)",3.57,"0 | ₩206,000 (-3.96%)",2.01,"0 | ₩142,500 (-5.50%)",1.91,"0 | ₩97,800 (-18.97%)",2.1,"0 | ₩51,000 (-7.78%)",3.12,"0 | ₩72,600 (-10.92%)",2.38,"0 | ₩44,250 (-7.14%)",1.98,"0 | ₩116,200 (-7.04%)",2.17,"0 | ₩238,000 (-8.81%)",2.87,"0 | ₩52,100 (-15.28%)",1.88,"0 | ₩163,800 (-6.98%)",1.86,"0 | ₩419,000 (-2.44%)",1.97,"0 | ₩70,800 (-10.04%)",2.52,"0 | ₩110,500 (-12.51%)",1.22,"🔴▲ 1 | ₩77,000 (-13.68%)",0.58,"🔵▼ 2,431,903",2.88,"🔴▲ 10 | ₩238,000 (-3.64%)",1.87,"0 | ₩176,500 (-5.56%)"
2026-03-24,3.79,"🔵▼ 5 | ₩149,000 (+6.73%)",0,"🔵▼ 180 | ₩193,000 (+7.76%)",7.88,"0 | ₩936,000 (-0.53%)",6.07,"0 | ₩172,900 (+2.43%)",1.06,"🔵▼ 20 | ₩602,000 (+1.35%)",1.93,"0 | ₩355,500 (+7.56%)",2.86,"🔴▲ 8 | ₩56,600 (+1.07%)",1.88,"0 | ₩107,300 (+1.13%)",3.51,"🔵▼ 2 | ₩204,000 (+6.42%)",3.66,"0 | ₩208,500 (+1.21%)",2.12,"0 | ₩151,000 (+5.96%)",1.64,"🔵▼ 6 | ₩105,000 (+7.36%)",2.05,"🔴▲ 6 | ₩50,000 (-1.96%)",2.94,"🔵▼ 7 | ₩75,200 (+3.58%)",2.06,"🔵▼ 50 | ₩46,950 (+6.10%)",2.06,"🔵▼ 8 | ₩134,700 (+15.92%)",3.64,"🔴▲ 30 | ₩259,000 (+8.82%)",2.57,"🔵▼ 17 | ₩55,600 (+6.72%)",2.01,"🔵▼ 2 | ₩184,900 (+12.88%)",1.93,"0 | ₩423,500 (+1.07%)",1.84,"0 | ₩70,000 (-1.13%)",2.37,"🔴▲ 2 | ₩110,600 (+0.09%)",1.04,"0 | ₩72,500 (-5.84%)",1.7,"🔴▲ 6,190,862",2.89,"🔵▼ 1 | ₩238,500 (+0.21%)",1.94,"0 | ₩184,300 (+4.42%)"
2026-03-25,3.79,"0 | ₩151,300 (+1.54%)",0,"🔵▼ 180 | ₩203,000 (+5.18%)",7.88,"0 | ₩1,115,000 (+19.12%)",6.07,"0 | ₩172,300 (-0.35%)",1.06,"0 | ₩605,000 (+0.50%)",1.93,"0 | ₩358,500 (+0.84%)",2.86,"0 | ₩54,700 (-3.36%)",1.88,"0 | ₩107,500 (+0.19%)",3.51,"0 | ₩213,500 (+4.66%)",3.66,"0 | ₩219,500 (+5.28%)",2.12,"0 | ₩159,500 (+5.63%)",1.64,"0 | ₩121,900 (+16.10%)",2.05,"0 | ₩53,500 (+7.00%)",2.94,"0 | ₩78,900 (+4.92%)",2.06,"0 | ₩47,750 (+1.70%)",2.06,"0 | ₩130,400 (-3.19%)",3.64,"0 | ₩257,500 (-0.58%)",2.57,"0 | ₩51,200 (-7.91%)",2.01,"0 | ₩192,800 (+4.27%)",1.93,"0 | ₩446,500 (+5.43%)",1.84,"0 | ₩75,500 (+7.86%)",2.37,"0 | ₩112,100 (+1.36%)",1.04,"0 | ₩79,100 (+9.10%)",1.7,0,2.89,"0 | ₩250,000 (+4.82%)",1.94,"0 | ₩187,600 (+1.79%)"
2026-03-26,3.71,"0 | ₩151,300 (+1.54%)",0,"0 | ₩203,000 (+5.18%)",7.92,"0 | ₩1,115,000 (+19.12%)",5.83,"0 | ₩172,300 (-0.35%)",1.02,"0 | ₩605,000 (+0.50%)",1.88,"0 | ₩358,500 (+0.84%)",2.66,"0 | ₩54,700 (-3.36%)",1.82,"0 | ₩107,500 (+0.19%)",3.54,"0 | ₩213,500 (+4.66%)",3.71,"0 | ₩219,500 (+5.28%)",2.16,"0 | ₩159,500 (+5.63%)",1.83,"0 | ₩121,900 (+16.10%)",2.12,"0 | ₩53,500 (+7.00%)",2.97,"0 | ₩78,900 (+4.92%)",2.02,"0 | ₩47,750 (+1.70%)",1.92,"0 | ₩130,400 (-3.19%)",3.48,"0 | ₩257,500 (-0.58%)",2.28,"0 | ₩51,200 (-7.91%)",2.02,"0 | ₩192,800 (+4.27%)",1.96,"0 | ₩446,500 (+5.43%)",1.91,"0 | ₩75,500 (+7.86%)",2.31,"0 | ₩112,100 (+1.36%)",1.1,"0 | ₩79,100 (+9.10%)",2.74,0,2.92,"0 | ₩250,000 (+4.82%)",1.9,"0 | ₩187,600 (+1.79%)"
2026-03-27,3.64,"0 | ₩146,000 (-3.50%)",0,"0 | ₩198,900 (-2.02%)",8.35,"0 | ₩1,158,000 (+3.86%)",6.18,"0 | ₩179,900 (+4.41%)",0,"🔵▼ 10 | ₩558,000 (-7.77%)",2.03,"0 | ₩381,000 (+6.28%)",0.88,"🔵▼ 188 | ₩51,200 (-6.40%)",0.89,"🔵▼ 50 | ₩103,200 (-4.00%)",3.48,"0 | ₩206,500 (-3.28%)",3.9,"0 | ₩227,000 (+3.42%)",2.13,"0 | ₩154,800 (-2.95%)",1.9,"0 | ₩124,500 (+2.13%)",2.19,"0 | ₩54,400 (+1.68%)",3.0,"0 | ₩78,400 (-0.63%)",1.95,"0 | ₩45,300 (-5.13%)",1.82,"0 | ₩121,500 (-6.83%)",3.8,"🔴▲ 10 | ₩245,500 (-4.66%)",1.81,"🔵▼ 43 | ₩48,000 (-6.25%)",2.21,"🔴▲ 8 | ₩184,000 (-4.56%)",1.82,"0 | ₩408,000 (-8.62%)",1.98,"0 | ₩76,800 (+1.72%)",2.44,"0 | ₩116,200 (+3.66%)",1.1,"0 | ₩78,300 (-1.01%)",1.82,"🔵▼ 5,645,403",2.84,"0 | ₩240,000 (-4.00%)",2.06,"0 | ₩200,000 (+6.61%)"
