Date,SK하이닉스,SK하이닉스_증감,삼성전자,삼성전자_증감,현대차,현대차_증감,SK스퀘어,SK스퀘어_증감,파두,파두_증감,두산,두산_증감,미래에셋증권,미래에셋증권_증감,HD건설기계,HD건설기계_증감,한화에어로스페이스,한화에어로스페이스_증감,레인보우로보틱스,레인보우로보틱스_증감,삼성SDI,삼성SDI_증감,두산에너빌리티,두산에너빌리티_증감,에스피지,에스피지_증감,CJ,CJ_증감,기아,기아_증감,HD현대중공업,HD현대중공업_증감,삼양식품,삼양식품_증감,삼성생명,삼성생명_증감,효성중공업,효성중공업_증감,SK,SK_증감,LIG넥스원,LIG넥스원_증감,삼천당제약,삼천당제약_증감,SK텔레콤,SK텔레콤_증감,이수스페셜티케미컬,이수스페셜티케미컬_증감,한국항공우주,한국항공우주_증감,포스코인터내셔널,포스코인터내셔널_증감,LS ELECTRIC,LS ELECTRIC_증감,현금,현금_증감,삼성전기,삼성전기_증감,현대건설,현대건설_증감,에이피알,에이피알_증감,OCI홀딩스,OCI홀딩스_증감,LG에너지솔루션,LG에너지솔루션_증감,한국콜마,한국콜마_증감
2026-03-03,24.05,"- | ₩939,000 (-11.50%)",21.68,"- | ₩195,100 (-9.88%)",5.73,"- | ₩595,000 (-11.72%)",4.98,"- | ₩581,000 (-9.92%)",3.83,"- | ₩59,000 (-0.51%)",3.81,"- | ₩1,152,000 (-9.86%)",3.73,"- | ₩66,312 (-7.50%)",2.73,"- | ₩140,800 (+0.07%)",2.06,"- | ₩1,432,000 (+19.83%)",2.04,"- | ₩840,000 (-2.33%)",1.81,"- | ₩408,000 (-12.45%)",1.76,"- | ₩96,900 (-8.84%)",1.64,"- | ₩134,800 (-6.78%)",1.6,"- | ₩207,000 (-5.26%)",1.6,"- | ₩182,300 (-11.29%)",1.54,"- | ₩590,000 (-2.16%)",1.53,"- | ₩1,172,000 (-4.01%)",1.49,"- | ₩221,500 (-3.70%)",1.46,"- | ₩2,606,000 (-7.69%)",1.37,"- | ₩379,500 (-5.36%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-04,23.12,"0 | ₩849,000 (-9.58%)",21.22,"0 | ₩172,200 (-11.74%)",5.5,"0 | ₩501,000 (-15.80%)",4.09,"🔵▼ 29 | ₩507,000 (-12.74%)",4.14,"0 | ₩54,500 (-7.63%)",3.73,"0 | ₩963,000 (-16.41%)",3.75,"0 | ₩56,256 (-15.16%)",2.96,"0 | ₩118,300 (-15.98%)",3.36,"🔴▲ 10 | ₩1,323,000 (-7.61%)",3.15,"🔴▲ 25 | ₩704,000 (-16.19%)",1.72,"0 | ₩351,000 (-13.97%)",1.74,"0 | ₩80,600 (-16.82%)",1.66,"0 | ₩108,400 (-19.58%)",1.65,"0 | ₩187,600 (-9.37%)",1.54,"0 | ₩156,700 (-14.04%)",1.63,"0 | ₩511,000 (-13.39%)",1.59,"0 | ₩1,040,000 (-11.26%)",1.56,"0 | ₩197,500 (-10.84%)",1.47,"0 | ₩2,297,000 (-11.86%)",1.41,"0 | ₩330,000 (-13.04%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-05,23.83,"0 | ₩941,000 (+10.84%)",21.36,"0 | ₩191,600 (+11.27%)",5.28,"0 | ₩548,000 (+9.38%)",4.07,"0 | ₩566,000 (+11.64%)",4.36,"0 | ₩66,100 (+21.28%)",3.55,"0 | ₩1,073,000 (+11.42%)",3.63,"0 | ₩64,918 (+15.40%)",2.84,"0 | ₩126,600 (+7.02%)",3.54,"0 | ₩1,381,000 (+4.38%)",3.01,"0 | ₩837,000 (+18.89%)",1.69,"0 | ₩392,500 (+11.82%)",1.65,"0 | ₩90,500 (+12.28%)",1.52,"0 | ₩126,900 (+17.07%)",1.71,"0 | ₩184,000 (-1.92%)",1.51,"0 | ₩166,400 (+6.19%)",1.61,"0 | ₩559,000 (+9.39%)",1.61,"0 | ₩1,060,000 (+1.92%)",1.58,"0 | ₩214,000 (+8.35%)",1.47,"0 | ₩2,484,000 (+8.14%)",1.39,"0 | ₩359,500 (+8.94%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,23.82,"0 | ₩924,000 (-1.81%)",21.43,"0 | ₩188,200 (-1.77%)",5.21,"0 | ₩553,000 (+0.91%)",4.09,"0 | ₩553,000 (-2.30%)",4.77,"0 | ₩71,000 (+7.41%)",3.57,"0 | ₩1,050,000 (-2.14%)",3.77,"0 | ₩66,810 (+2.91%)",1.53,"🔵▼ 199 | ₩126,300 (-0.24%)",3.26,"🔵▼ 1 | ₩1,481,000 (+7.24%)",4.04,"🔴▲ 20 | ₩832,000 (-0.60%)",1.7,"0 | ₩410,500 (+4.59%)",1.67,"0 | ₩98,000 (+8.29%)",0.92,"🔵▼ 112 | ₩131,400 (+3.55%)",0.0,"🔵▼ 170 | ₩183,700 (-0.16%)",0.0,"🔵▼ 180 | ₩167,000 (+0.36%)",1.59,"0 | ₩554,000 (-0.89%)",1.48,"0 | ₩1,058,000 (-0.19%)",1.55,"0 | ₩210,000 (-1.87%)",1.44,"0 | ₩2,478,000 (-0.24%)",1.37,"0 | ₩358,500 (-0.28%)",2.58,"🔴▲ 70 | ₩834,000 (+9.31%)",1.34,"🔴▲ 35 | ₩764,000 (-4.02%)",1.32,"0 | ₩76,500 (-1.80%)",,,,,,,,,,,,,,,,,,,,,,
2026-03-09,23.39,"0 | ₩836,000 (-9.52%)",21.05,"0 | ₩173,500 (-7.81%)",5.25,"0 | ₩507,000 (-8.32%)",4.0,"0 | ₩509,000 (-7.96%)",5.12,"0 | ₩64,200 (-9.58%)",3.49,"0 | ₩980,000 (-6.67%)",3.88,"0 | ₩63,922 (-4.32%)",1.52,"0 | ₩123,100 (-2.53%)",3.5,"0 | ₩1,434,000 (-3.17%)",4.01,"0 | ₩739,000 (-11.18%)",1.78,"0 | ₩389,000 (-5.24%)",1.81,"0 | ₩96,200 (-1.84%)",0.95,"0 | ₩128,100 (-2.51%)",0.0,"🔵▼ 170 | ₩171,600 (-6.59%)",0.0,"🔵▼ 180 | ₩153,400 (-8.14%)",1.58,"0 | ₩576,000 (+3.97%)",1.48,"0 | ₩1,022,000 (-3.40%)",1.52,"0 | ₩200,500 (-4.52%)",1.43,"0 | ₩2,389,000 (-3.59%)",1.37,"0 | ₩329,000 (-8.23%)",2.82,"0 | ₩796,000 (-4.56%)",1.29,"0 | ₩767,000 (+0.39%)",1.3,"0 | ₩75,800 (-0.92%)",1.36,"0 | ₩96,100 (-8.56%)",1.33,"0 | ₩174,100 (-5.02%)",,,,,,,,,,,,,,,,,,
2026-03-10,21.69,"🔵▼ 25 | ₩938,000 (+12.20%)",20.26,"🔵▼ 70 | ₩187,900 (+8.30%)",5.18,"0 | ₩525,000 (+3.55%)",3.96,"0 | ₩554,000 (+8.84%)",4.5,"🔵▼ 146 | ₩63,700 (-0.78%)",3.51,"0 | ₩1,053,000 (+7.45%)",4.0,"0 | ₩64,321 (+0.62%)",1.59,"🔵▼ 1 | ₩129,300 (+5.04%)",3.65,"0 | ₩1,455,000 (+1.46%)",3.76,"🔵▼ 2 | ₩766,000 (+3.65%)",1.82,"0 | ₩403,500 (+3.73%)",1.91,"0 | ₩102,500 (+6.55%)",0.99,"🔵▼ 1 | ₩135,000 (+5.39%)",0.0,"🔵▼ 170 | ₩177,100 (+3.21%)",0.0,"🔵▼ 180 | ₩161,000 (+4.95%)",1.76,"0 | ₩583,000 (+1.22%)",1.54,"0 | ₩1,030,000 (+0.78%)",1.56,"0 | ₩211,500 (+5.49%)",1.49,"0 | ₩2,550,000 (+6.74%)",1.35,"0 | ₩351,000 (+6.69%)",3.26,"🔴▲ 9 | ₩759,000 (-4.65%)",1.35,"🔵▼ 1 | ₩786,000 (+2.48%)",1.38,"0 | ₩77,200 (+1.85%)",1.34,"0 | ₩99,000 (+3.02%)",1.36,"0 | ₩174,100 (+0.00%)",1.99,"🔴▲ 500 | ₩75,800 (-1.04%)",1.38,"0 | ₩724,000 (+6.31%)",,,,,,,,,,,,,,
2026-03-11,22.87,"🔵▼ 2 | ₩955,000 (+1.81%)",20.7,"0 | ₩190,000 (+1.12%)",4.32,"🔵▼ 29 | ₩530,000 (+0.95%)",4.07,"0 | ₩565,000 (+1.99%)",4.21,"0 | ₩63,200 (-0.78%)",3.56,"0 | ₩1,101,000 (+4.56%)",3.8,"0 | ₩71,091 (+10.53%)",1.58,"0 | ₩128,600 (-0.54%)",3.49,"0 | ₩1,410,000 (-3.09%)",3.68,"0 | ₩748,000 (-2.35%)",1.38,"🔵▼ 20 | ₩400,000 (-0.87%)",1.92,"0 | ₩101,000 (-1.46%)",0.99,"0 | ₩131,200 (-2.81%)",0.0,"🔵▼ 170 | ₩182,500 (+3.05%)",0.0,"🔵▼ 180 | ₩162,000 (+0.62%)",1.68,"0 | ₩590,000 (+1.20%)",1.46,"0 | ₩1,120,000 (+8.74%)",1.55,"0 | ₩226,500 (+7.09%)",1.25,"🔵▼ 2 | ₩2,533,000 (-0.67%)",1.36,"0 | ₩359,500 (+2.42%)",2.94,"0 | ₩742,000 (-2.24%)",1.31,"0 | ₩774,000 (-1.53%)",1.33,"0 | ₩77,900 (+0.91%)",1.3,"0 | ₩97,900 (-1.11%)",1.28,"0 | ₩175,400 (+0.75%)",2.97,"🔴▲ 300 | ₩76,400 (+0.79%)",1.38,"0 | ₩722,000 (-0.28%)",,,,,,,,,,,,,,
2026-03-12,22.98,"0 | ₩930,000 (-2.62%)",20.66,"0 | ₩187,900 (-1.11%)",4.28,"🔵▼ 1 | ₩521,000 (-1.70%)",4.1,"0 | ₩554,000 (-1.95%)",4.13,"🔴▲ 2 | ₩66,600 (+5.38%)",3.67,"0 | ₩1,143,000 (+3.81%)",3.45,"🔵▼ 200 | ₩70,096 (-1.40%)",1.55,"0 | ₩129,000 (+0.31%)",3.34,"0 | ₩1,465,000 (+3.90%)",3.54,"0 | ₩760,000 (+1.60%)",1.35,"0 | ₩400,000 (+0.00%)",1.87,"0 | ₩103,500 (+2.48%)",0.95,"0 | ₩131,200 (+0.00%)",0.0,"🔵▼ 170 | ₩180,300 (-1.21%)",0.0,"🔵▼ 180 | ₩167,000 (+3.09%)",1.68,"0 | ₩604,000 (+2.37%)",1.57,"0 | ₩1,075,000 (-4.02%)",1.64,"0 | ₩218,500 (-3.53%)",1.22,"0 | ₩2,561,000 (+1.11%)",1.37,"0 | ₩336,000 (-6.54%)",2.83,"0 | ₩755,000 (+1.75%)",1.27,"0 | ₩787,000 (+1.68%)",1.33,"0 | ₩76,200 (-2.18%)",1.27,"0 | ₩97,400 (-0.51%)",1.27,"0 | ₩179,800 (+2.51%)",2.95,"🔵▼ 1 | ₩79,500 (+4.06%)",1.36,"0 | ₩740,000 (+2.49%)",1.76,"🔴▲ 15,652,808",,,,,,,,,,,,
2026-03-13,22.46,"0 | ₩910,000 (-2.15%)",20.51,"0 | ₩183,500 (-2.34%)",4.22,"0 | ₩517,000 (-0.77%)",4.03,"0 | ₩534,000 (-3.61%)",4.37,"0 | ₩66,200 (-0.60%)",3.83,"0 | ₩1,099,000 (-3.85%)",3.41,"🔵▼ 2 | ₩69,200 (-1.28%)",1.56,"0 | ₩131,800 (+2.17%)",3.48,"0 | ₩1,488,000 (+1.57%)",3.61,"0 | ₩751,000 (-1.18%)",1.36,"0 | ₩388,000 (-3.00%)",1.92,"0 | ₩106,500 (+2.90%)",0.95,"0 | ₩130,300 (-0.69%)",0.0,"🔵▼ 170 | ₩176,400 (-2.16%)",0.0,"🔵▼ 180 | ₩164,300 (-1.62%)",1.73,"0 | ₩596,000 (-1.32%)",1.51,"0 | ₩1,086,000 (+1.02%)",1.59,"0 | ₩216,000 (-1.14%)",1.24,"0 | ₩2,593,000 (+1.25%)",1.29,"0 | ₩331,000 (-1.49%)",2.89,"0 | ₩723,000 (-4.24%)",1.3,"0 | ₩772,000 (-1.91%)",1.3,"0 | ₩75,000 (-1.57%)",1.27,"0 | ₩92,900 (-4.62%)",1.31,"0 | ₩182,700 (+1.61%)",3.08,"0 | ₩73,700 (-7.30%)",1.4,"0 | ₩747,000 (+0.95%)",1.75,"🔵▼ 509,827",,,,,,,,,,,,
2026-03-16,22.38,"0 | ₩974,000 (+7.03%)",20.39,"0 | ₩188,700 (+2.83%)",4.26,"0 | ₩506,000 (-2.13%)",3.96,"0 | ₩562,000 (+5.24%)",4.42,"0 | ₩69,300 (+4.68%)",3.75,"0 | ₩1,088,000 (-1.00%)",3.45,"🔴▲ 7 | ₩70,900 (+2.46%)",1.62,"0 | ₩124,500 (-5.54%)",3.6,"0 | ₩1,476,000 (-0.81%)",3.64,"0 | ₩720,000 (-4.13%)",1.34,"0 | ₩383,000 (-1.29%)",2.01,"0 | ₩105,700 (-0.75%)",0.96,"0 | ₩126,800 (-2.69%)",0.0,"🔵▼ 170 | ₩186,900 (+5.95%)",0.0,"🔵▼ 180 | ₩162,000 (-1.40%)",1.74,"0 | ₩583,000 (-2.18%)",1.56,"0 | ₩1,038,000 (-4.42%)",1.6,"0 | ₩212,000 (-1.85%)",1.28,"0 | ₩2,517,000 (-2.93%)",1.29,"0 | ₩330,500 (-0.15%)",2.82,"0 | ₩730,000 (+0.97%)",1.3,"0 | ₩730,000 (-5.44%)",1.3,"0 | ₩76,300 (+1.73%)",0.0,"🔵▼ 268 | ₩89,500 (-3.66%)",1.35,"0 | ₩191,200 (+4.65%)",2.91,"0 | ₩73,800 (+0.14%)",1.44,"0 | ₩733,000 (-1.87%)",0.93,"🔵▼ 17,202,977",1.48,"🔴▲ 31 | ₩413,000 (+3.12%)",1.46,"🔴▲ 180 | ₩159,600 (-2.92%)",,,,,,,,
